"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 21 13:00:07 UTC 2022","Mon Nov 21 13:00:39 UTC 2022","32583","tests","test_api_build","","","","test_recipe_builds[r_test_import]",""
"passed","Mon Nov 21 12:51:01 UTC 2022","Mon Nov 21 12:51:04 UTC 2022","2196","tests","test_api_build","","","","test_recipe_builds[unknown_selector]",""
"passed","Mon Nov 21 13:02:01 UTC 2022","Mon Nov 21 13:02:27 UTC 2022","26035","tests","test_api_build","","","","test_build_with_activate_does_activate",""
"passed","Mon Nov 21 12:46:39 UTC 2022","Mon Nov 21 12:47:06 UTC 2022","26924","tests","test_api_build","","","","test_recipe_builds[python_run]",""
"passed","Mon Nov 21 12:44:42 UTC 2022","Mon Nov 21 12:44:47 UTC 2022","4076","tests","test_api_build","","","","test_recipe_builds[empty_with_build_script]",""
"passed","Mon Nov 21 13:04:08 UTC 2022","Mon Nov 21 13:04:18 UTC 2022","9793","tests","test_cli","","","","test_build_add_channel","This recipe requires the conda_build_test_requirement package, which is
    only on the conda_build_test channel. This verifies that the -c argument
    works."
"passed","Mon Nov 21 12:42:05 UTC 2022","Mon Nov 21 12:42:20 UTC 2022","14725","tests","test_api_build","","","","test_recipe_builds[preserve_egg_dir]",""
"passed","Mon Nov 21 12:49:52 UTC 2022","Mon Nov 21 12:50:12 UTC 2022","20057","tests","test_api_build","","","","test_recipe_builds[no_link]",""
"passed","Mon Nov 21 13:01:10 UTC 2022","Mon Nov 21 13:01:12 UTC 2022","2308","tests","test_api_build","","","","test_no_anaconda_upload_condarc[binstar]",""
"passed","Mon Nov 21 12:48:13 UTC 2022","Mon Nov 21 12:49:01 UTC 2022","48361","tests","test_api_build","","","","test_recipe_builds[numpy_build_run]",""
"passed","Mon Nov 21 12:46:27 UTC 2022","Mon Nov 21 12:46:39 UTC 2022","11984","tests","test_api_build","","","","test_recipe_builds[libarchive]",""
"passed","Mon Nov 21 13:01:43 UTC 2022","Mon Nov 21 13:02:01 UTC 2022","17992","tests","test_api_build","","","","test_build_with_no_activate_does_not_activate",""
"passed","Mon Nov 21 13:00:48 UTC 2022","Mon Nov 21 13:01:07 UTC 2022","18565","tests","test_api_build","","","","test_recipe_builds[build_env]",""
"passed","Mon Nov 21 12:45:32 UTC 2022","Mon Nov 21 12:46:04 UTC 2022","31891","tests","test_api_build","","","","test_recipe_builds[python_build]",""
"passed","Mon Nov 21 12:58:01 UTC 2022","Mon Nov 21 12:58:27 UTC 2022","25900","tests","test_api_build","","","","test_recipe_builds[jinja_load_toml]",""
"passed","Mon Nov 21 12:38:38 UTC 2022","Mon Nov 21 12:39:16 UTC 2022","38677","tests","test_api_build","","","","test_recipe_builds[symlinks]",""
"passed","Mon Nov 21 12:51:04 UTC 2022","Mon Nov 21 12:52:20 UTC 2022","76442","tests","test_api_build","","","","test_recipe_builds[wheel_source]",""
"passed","Mon Nov 21 12:54:23 UTC 2022","Mon Nov 21 12:54:45 UTC 2022","22520","tests","test_api_build","","","","test_recipe_builds[binary_has_prefix_files_list]",""
"passed","Mon Nov 21 12:49:01 UTC 2022","Mon Nov 21 12:49:03 UTC 2022","2011","tests","test_api_build","","","","test_recipe_builds[empty_sections]",""
"skipped","Mon Nov 21 13:02:56 UTC 2022","Mon Nov 21 13:02:56 UTC 2022","17","tests","test_api_build","","","","test_copy_read_only_file_with_xattr",""
"passed","Mon Nov 21 12:42:20 UTC 2022","Mon Nov 21 12:42:36 UTC 2022","15623","tests","test_api_build","","","","test_recipe_builds[source_git]",""
"passed","Mon Nov 21 12:55:17 UTC 2022","Mon Nov 21 12:56:45 UTC 2022","87092","tests","test_api_build","","","","test_recipe_builds[source_setup_py_data]",""
"passed","Mon Nov 21 12:50:28 UTC 2022","Mon Nov 21 12:50:57 UTC 2022","28860","tests","test_api_build","","","","test_recipe_builds[python_build_run]",""
"skipped","Mon Nov 21 12:57:22 UTC 2022","Mon Nov 21 12:57:22 UTC 2022","1","tests","test_api_build","","","","test_recipe_builds[source_setup_py_data_subdir]",""
"passed","Mon Nov 21 12:44:26 UTC 2022","Mon Nov 21 12:44:42 UTC 2022","16555","tests","test_api_build","","","","test_recipe_builds[build_string]",""
"passed","Mon Nov 21 13:03:22 UTC 2022","Mon Nov 21 13:03:32 UTC 2022","9929","tests","test_api_build","","","","test_verify_bad_package",""
"passed","Mon Nov 21 12:46:09 UTC 2022","Mon Nov 21 12:46:10 UTC 2022","1870","tests","test_api_build","","","","test_recipe_builds[noarch_generic]",""
"passed","Mon Nov 21 12:41:07 UTC 2022","Mon Nov 21 12:41:30 UTC 2022","23609","tests","test_api_build","","","","test_recipe_builds[jinja2_build_str]",""
"passed","Mon Nov 21 12:47:24 UTC 2022","Mon Nov 21 12:47:54 UTC 2022","29707","tests","test_api_build","","","","test_recipe_builds[jinja_load_yaml]",""
"passed","Mon Nov 21 12:46:10 UTC 2022","Mon Nov 21 12:46:22 UTC 2022","11505","tests","test_api_build","","","","test_recipe_builds[arbitrary_file_in_info_dir]",""
"passed","Mon Nov 21 13:02:27 UTC 2022","Mon Nov 21 13:02:56 UTC 2022","29068","tests","test_api_build","","","","test_numpy_setup_py_data",""
"passed","Mon Nov 21 12:54:49 UTC 2022","Mon Nov 21 12:55:17 UTC 2022","27950","tests","test_api_build","","","","test_recipe_builds[ds_store_ignored]",""
"passed","Mon Nov 21 13:04:18 UTC 2022","Mon Nov 21 13:04:20 UTC 2022","1926","tests","test_cli","","","","test_purge","
    purge clears out build folders - things like some_pkg_12048309850135

    It does not clear out build packages from folders like osx-64 or linux-64.
    "
"passed","Mon Nov 21 12:49:27 UTC 2022","Mon Nov 21 12:49:52 UTC 2022","24280","tests","test_api_build","","","","test_recipe_builds[extra_freeform_metadata]",""
"passed","Mon Nov 21 12:59:10 UTC 2022","Mon Nov 21 12:59:25 UTC 2022","15492","tests","test_api_build","","","","test_recipe_builds[unicode_all_over]",""
"passed","Mon Nov 21 12:42:47 UTC 2022","Mon Nov 21 12:43:47 UTC 2022","60234","tests","test_api_build","","","","test_recipe_builds[cdt_linking]",""
"passed","Mon Nov 21 12:57:58 UTC 2022","Mon Nov 21 12:58:00 UTC 2022","1873","tests","test_api_build","","","","test_recipe_builds[multiple_sources]",""
"skipped","Mon Nov 21 13:01:07 UTC 2022","Mon Nov 21 13:01:07 UTC 2022","0","tests","test_api_build","","","","test_ignore_some_prefix_files",""
"passed","Mon Nov 21 12:52:20 UTC 2022","Mon Nov 21 12:52:38 UTC 2022","17526","tests","test_api_build","","","","test_recipe_builds[build_number]",""
"passed","Mon Nov 21 12:58:00 UTC 2022","Mon Nov 21 12:58:01 UTC 2022","1787","tests","test_api_build","","","","test_recipe_builds[empty_patch_section]",""
"passed","Mon Nov 21 12:52:46 UTC 2022","Mon Nov 21 12:53:14 UTC 2022","27802","tests","test_api_build","","","","test_recipe_builds[entry_points]",""
"passed","Mon Nov 21 13:01:17 UTC 2022","Mon Nov 21 13:01:19 UTC 2022","2698","tests","test_api_build","","","","test_offline[anaconda]",""
"passed","Mon Nov 21 12:50:57 UTC 2022","Mon Nov 21 12:51:01 UTC 2022","3998","tests","test_api_build","","","","test_recipe_builds[hoist_source_multilevel]",""
"passed","Mon Nov 21 13:04:33 UTC 2022","Mon Nov 21 13:04:38 UTC 2022","5392","tests","test_variants","","","","test_ensure_valid_spec_on_run_and_test",""
"passed","Mon Nov 21 12:45:32 UTC 2022","Mon Nov 21 12:45:32 UTC 2022","81","tests","test_api_build","","","","test_recipe_builds[build_skip]",""
"passed","Mon Nov 21 12:42:36 UTC 2022","Mon Nov 21 12:42:47 UTC 2022","11077","tests","test_api_build","","","","test_recipe_builds[state_variables]",""
"passed","Mon Nov 21 12:54:05 UTC 2022","Mon Nov 21 12:54:23 UTC 2022","17614","tests","test_api_build","","","","test_recipe_builds[nested_recipe]",""
