"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 09 21:35:29 UTC 2022","Wed Nov 09 21:35:43 UTC 2022","14360","tests","test_subpackages","","","","test_per_output_tests",""
"passed","Wed Nov 09 21:23:11 UTC 2022","Wed Nov 09 21:23:18 UTC 2022","6658","tests","test_api_render","","","","test_merge_build_host_build_key",""
"passed","Wed Nov 09 21:37:15 UTC 2022","Wed Nov 09 21:37:16 UTC 2022","1168","tests","test_subpackages","","","","test_output_same_name_as_top_level_does_correct_output_regex",""
"passed","Wed Nov 09 21:13:32 UTC 2022","Wed Nov 09 21:13:32 UTC 2022","92","tests","test_api_build","","","","test_extract_tarball_with_unicode_filename","See https://github.com/conda/conda-build/pull/1779"
"passed","Wed Nov 09 21:51:10 UTC 2022","Wed Nov 09 21:51:12 UTC 2022","2535","tests","test_cli","","","","test_build_skip_existing_croot",""
"passed","Wed Nov 09 21:42:31 UTC 2022","Wed Nov 09 21:42:31 UTC 2022","0","tests","test_utils","","","","test_get_site_packages",""
"passed","Wed Nov 09 21:25:26 UTC 2022","Wed Nov 09 21:25:26 UTC 2022","9","tests","test_index","","","","test_current_index_reduces_space",""
"passed","Wed Nov 09 21:25:52 UTC 2022","Wed Nov 09 21:25:53 UTC 2022","88","tests","test_metadata","","","","test_native_compiler_metadata_osx",""
"passed","Wed Nov 09 21:50:37 UTC 2022","Wed Nov 09 21:50:38 UTC 2022","411","tests","test_variants","","","","test_subspace_selection",""
"passed","Wed Nov 09 21:42:31 UTC 2022","Wed Nov 09 21:42:31 UTC 2022","7","tests","test_utils","","","","test_logger_config_from_file",""
"passed","Wed Nov 09 21:27:18 UTC 2022","Wed Nov 09 21:27:31 UTC 2022","12529","tests","test_published_examples","","","","test_recipe_builds[building_jinja2_setup_py_data]",""
"passed","Wed Nov 09 21:42:36 UTC 2022","Wed Nov 09 21:42:36 UTC 2022","1","tests","test_utils","","","","test_find_recipe_relative",""
"passed","Wed Nov 09 21:42:14 UTC 2022","Wed Nov 09 21:42:14 UTC 2022","0","tests","test_build","","","","test_has_prefix",""
"passed","Wed Nov 09 21:25:40 UTC 2022","Wed Nov 09 21:25:40 UTC 2022","1","tests","test_license_family","","","","test_unlimited","The following is an unfortunate case where MIT is in UNLIMITED

    We could add words to filter out, but it would be hard to keep track of...
    "
"passed","Wed Nov 09 21:52:30 UTC 2022","Wed Nov 09 21:52:30 UTC 2022","3","tests.cli","test_main_debug","","","","test_main_debug_help_message",""
"passed","Wed Nov 09 21:23:02 UTC 2022","Wed Nov 09 21:23:02 UTC 2022","103","tests","test_api_render","","","","test_cross_recipe_with_only_build_section",""
"passed","Wed Nov 09 21:44:50 UTC 2022","Wed Nov 09 21:46:54 UTC 2022","124632","tests","test_cli","","","","test_build_source",""
"passed","Wed Nov 09 21:39:27 UTC 2022","Wed Nov 09 21:40:02 UTC 2022","34981","tests","test_subpackages","","","","test_activation_in_output_scripts",""
"passed","Wed Nov 09 21:09:10 UTC 2022","Wed Nov 09 21:09:13 UTC 2022","2958","tests","test_api_build","","","","test_recursive_fail",""
"passed","Wed Nov 09 21:25:27 UTC 2022","Wed Nov 09 21:25:27 UTC 2022","217","tests","test_index","","","","test_index_invalid_packages",""
