"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 21 12:47:22 UTC 2022","Mon Nov 21 12:47:35 UTC 2022","13047","tests","test_api_build","","","","test_recipe_builds[source_regex_from_recipe_dir]",""
"passed","Mon Nov 21 12:52:23 UTC 2022","Mon Nov 21 12:53:44 UTC 2022","80388","tests","test_api_build","","","","test_recipe_builds[source_setup_py_data]",""
"passed","Mon Nov 21 12:58:01 UTC 2022","Mon Nov 21 12:58:21 UTC 2022","19919","tests","test_api_build","","","","test_build_with_activate_does_activate",""
"passed","Mon Nov 21 12:43:38 UTC 2022","Mon Nov 21 12:44:17 UTC 2022","39507","tests","test_api_build","","","","test_recipe_builds[numpy_run]",""
"passed","Mon Nov 21 12:57:24 UTC 2022","Mon Nov 21 12:57:26 UTC 2022","2106","tests","test_api_build","","","","test_offline[anaconda]",""
"passed","Mon Nov 21 12:54:14 UTC 2022","Mon Nov 21 12:54:35 UTC 2022","21071","tests","test_api_build","","","","test_recipe_builds[jinja2]",""
"passed","Mon Nov 21 12:51:58 UTC 2022","Mon Nov 21 12:52:02 UTC 2022","3576","tests","test_api_build","","","","test_recipe_builds[fix_permissions]",""
"passed","Mon Nov 21 12:54:44 UTC 2022","Mon Nov 21 12:54:46 UTC 2022","1498","tests","test_api_build","","","","test_recipe_builds[empty_patch_section]",""
"passed","Mon Nov 21 12:47:12 UTC 2022","Mon Nov 21 12:47:14 UTC 2022","1767","tests","test_api_build","","","","test_recipe_builds[empty_sections]",""
"passed","Mon Nov 21 12:46:26 UTC 2022","Mon Nov 21 12:47:12 UTC 2022","46666","tests","test_api_build","","","","test_recipe_builds[numpy_build_run]",""
"passed","Mon Nov 21 12:54:35 UTC 2022","Mon Nov 21 12:54:43 UTC 2022","7510","tests","test_api_build","","","","test_recipe_builds[float_misinterpretation]",""
