"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Nov 21 12:39:06 UTC 2022","Mon Nov 21 12:39:09 UTC 2022","2904","tests","test_api_build","","","","test_binary_has_prefix_files_non_utf8",""
"skipped","Mon Nov 21 12:52:33 UTC 2022","Mon Nov 21 12:52:33 UTC 2022","0","tests","test_api_render","","","","test_run_exports_from_repo_without_channeldata",""
"passed","Mon Nov 21 13:09:19 UTC 2022","Mon Nov 21 13:09:19 UTC 2022","7","tests","test_utils","","","","test_logger_config_from_file",""
"passed","Mon Nov 21 12:54:47 UTC 2022","Mon Nov 21 12:54:47 UTC 2022","0","tests","test_license_family","","","","test_new_vs_previous_guess_differ_gpl","Test cases where new and deprecated functions differ

    license = 'GPL'
    New guess is GPL, which is an allowed family, hence the most accurate.
    Previously, GPL3 was chosen over GPL
    "
"passed","Mon Nov 21 13:18:06 UTC 2022","Mon Nov 21 13:18:06 UTC 2022","3","tests.cli","test_main_debug","","","","test_main_debug_help_message",""
"passed","Mon Nov 21 13:00:53 UTC 2022","Mon Nov 21 13:01:57 UTC 2022","63625","tests","test_subpackages","","","","test_intradependencies",""
"passed","Mon Nov 21 13:09:24 UTC 2022","Mon Nov 21 13:09:24 UTC 2022","1","tests","test_utils","","","","test_find_recipe_multipe_base",""
"passed","Mon Nov 21 12:48:15 UTC 2022","Mon Nov 21 12:48:43 UTC 2022","27855","tests","test_api_build_conda_v2","","","","test_conda_pkg_format[2-.conda]","Conda package format ""2"" builds .conda packages."
"passed","Mon Nov 21 12:50:10 UTC 2022","Mon Nov 21 12:50:11 UTC 2022","838","tests","test_api_convert","","","","test_convert_no_dependencies[package0-win]",""
"passed","Mon Nov 21 12:58:41 UTC 2022","Mon Nov 21 12:58:52 UTC 2022","11303","tests","test_subpackages","","","","test_subpackage_recipes[compose_run_requirements_from_subpackages]",""
"passed","Mon Nov 21 13:16:25 UTC 2022","Mon Nov 21 13:16:40 UTC 2022","15677","tests","test_variants","","","","test_numpy_used_variable_looping",""
"passed","Mon Nov 21 12:54:57 UTC 2022","Mon Nov 21 12:54:58 UTC 2022","1441","tests","test_post","","","","test_postlink_script_in_output_explicit",""
"passed","Mon Nov 21 13:12:11 UTC 2022","Mon Nov 21 13:14:57 UTC 2022","165770","tests","test_variants","","","","test_get_package_variants_from_dictionary_of_lists",""
"passed","Mon Nov 21 12:53:34 UTC 2022","Mon Nov 21 12:53:34 UTC 2022","1","tests","test_api_skeleton","","","","test_convert_to_flat_list",""
"passed","Mon Nov 21 13:03:45 UTC 2022","Mon Nov 21 13:03:58 UTC 2022","13340","tests","test_subpackages","","","","test_per_output_tests",""
"passed","Mon Nov 21 12:39:09 UTC 2022","Mon Nov 21 12:39:10 UTC 2022","1459","tests","test_api_build","","","","test_relative_git_url_git_versioning",""
"passed","Mon Nov 21 12:50:11 UTC 2022","Mon Nov 21 12:50:13 UTC 2022","1703","tests","test_api_convert","","","","test_renaming_executables[package0-linux]","Test that the files in /bin are properly renamed.

    When converting the bin/ directory to Scripts/, only scripts
    need to be changed. Sometimes the /bin directory contains other
    files that are not Python scripts such as post-link.sh scripts.
    This test converts a packaege that contains a post-link.sh script
    in the bin/ directory and checks to see that its filename remains
    the same.
    "
"passed","Mon Nov 21 12:56:28 UTC 2022","Mon Nov 21 12:56:28 UTC 2022","0","tests","test_pypi_skeleton","","","","test_formating_value",""
"passed","Mon Nov 21 12:38:52 UTC 2022","Mon Nov 21 12:39:01 UTC 2022","9028","tests","test_api_build","","","","test_no_include_recipe_meta_yaml",""
"passed","Mon Nov 21 12:48:52 UTC 2022","Mon Nov 21 12:48:52 UTC 2022","1","tests","test_api_skeleton","","","","test_is_setuptools_enabled",""
"passed","Mon Nov 21 12:56:28 UTC 2022","Mon Nov 21 12:56:28 UTC 2022","8","tests","test_render","","","","test_output_with_noarch_says_noarch",""
"passed","Mon Nov 21 13:09:24 UTC 2022","Mon Nov 21 13:09:24 UTC 2022","1","tests","test_utils","","","","test_find_recipe_file_bad",""
"passed","Mon Nov 21 12:48:52 UTC 2022","Mon Nov 21 12:48:52 UTC 2022","1","tests","test_api_skeleton","","","","test_get_dependencies",""
"passed","Mon Nov 21 13:09:19 UTC 2022","Mon Nov 21 13:09:19 UTC 2022","0","tests","test_utils","","","","test_relative_2",""
"passed","Mon Nov 21 13:15:57 UTC 2022","Mon Nov 21 13:16:57 UTC 2022","60720","tests","test_cli","","","","test_convert",""
"passed","Mon Nov 21 12:54:38 UTC 2022","Mon Nov 21 12:54:38 UTC 2022","1","tests","test_jinja_context","","","","test_pin_subpackage_expression",""
"passed","Mon Nov 21 13:03:10 UTC 2022","Mon Nov 21 13:03:35 UTC 2022","25679","tests","test_subpackages","","","","test_subpackage_hash_inputs",""
"passed","Mon Nov 21 12:54:56 UTC 2022","Mon Nov 21 12:54:56 UTC 2022","63","tests","test_patch","","","","test_crlf_source_lf_patch",""
"passed","Mon Nov 21 12:39:25 UTC 2022","Mon Nov 21 12:39:28 UTC 2022","2720","tests","test_api_build","","","","test_symlink_fail",""
"passed","Mon Nov 21 12:49:26 UTC 2022","Mon Nov 21 12:49:26 UTC 2022","0","tests","test_api_consistency","","","","test_api_skeletonize",""
"passed","Mon Nov 21 12:54:56 UTC 2022","Mon Nov 21 12:54:56 UTC 2022","1","tests","test_patch","","","","test_ensure_unix_line_endings_with_nonutf8_characters",""
