"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 09 21:56:12 UTC 2022","Wed Nov 09 21:56:38 UTC 2022","25951","tests","test_build","","","","test_build_preserves_PATH",""
"passed","Wed Nov 09 21:57:03 UTC 2022","Wed Nov 09 21:57:03 UTC 2022","125","tests","test_patch","","","","test_lf_source_lf_patch",""
"passed","Wed Nov 09 21:54:13 UTC 2022","Wed Nov 09 21:54:13 UTC 2022","16","tests","test_cran_skeleton","","","","test_get_license_info[GPL-3-GPL-3-GPL3-license_file:
    - '{{ environ[""PREFIX""] }}/lib/R/share/licenses/GPL-3']",""
"passed","Wed Nov 09 21:22:37 UTC 2022","Wed Nov 09 21:22:39 UTC 2022","2206","tests","test_api_build","","","","test_noarch_foo_value",""
"passed","Wed Nov 09 21:53:00 UTC 2022","Wed Nov 09 21:53:17 UTC 2022","17507","tests","test_cli","","","","test_render_with_python_arg_reduces_subspace",""
"passed","Wed Nov 09 21:55:08 UTC 2022","Wed Nov 09 21:55:08 UTC 2022","78","tests","test_index","","","","test_channeldata_picks_up_all_versions_of_run_exports",""
"passed","Wed Nov 09 21:21:14 UTC 2022","Wed Nov 09 21:21:40 UTC 2022","26085","tests","test_api_build","","","","test_cmake_generator[3.7-32]",""
"passed","Wed Nov 09 21:55:10 UTC 2022","Wed Nov 09 21:55:12 UTC 2022","2238","tests","test_inspect","","","","test_inspect_linkages",""
"passed","Wed Nov 09 21:52:29 UTC 2022","Wed Nov 09 21:52:51 UTC 2022","21751","tests","test_api_skeleton_cran","","","","test_cran_license[r-zoo-GPL-2 | GPL-3-GPL3-license_files5]",""
"passed","Wed Nov 09 21:56:08 UTC 2022","Wed Nov 09 21:56:08 UTC 2022","0","tests","test_license_family","","","","test_gpl2",""
"skipped","Wed Nov 09 21:48:06 UTC 2022","Wed Nov 09 21:48:06 UTC 2022","0","tests","test_api_skeleton","","","","test_build_sh_shellcheck_clean[screen-rpm]",""
"passed","Wed Nov 09 22:15:01 UTC 2022","Wed Nov 09 22:15:01 UTC 2022","0","tests","test_utils","","","","test_disallow_in_tree_merge",""
"passed","Wed Nov 09 21:54:13 UTC 2022","Wed Nov 09 21:54:13 UTC 2022","0","tests","test_cran_skeleton","","","","test_read_description_contents",""
"passed","Wed Nov 09 21:22:27 UTC 2022","Wed Nov 09 21:22:36 UTC 2022","8990","tests","test_api_build","","","","test_build_metadata_object",""
"passed","Wed Nov 09 21:42:44 UTC 2022","Wed Nov 09 21:42:47 UTC 2022","3283","tests","test_api_convert","","","","test_c_extension_conversion[package0-osx]",""
"passed","Wed Nov 09 21:31:21 UTC 2022","Wed Nov 09 21:31:44 UTC 2022","22623","tests","test_api_build","","","","test_keep_workdir_and_dirty_reuse",""
"passed","Wed Nov 09 21:47:00 UTC 2022","Wed Nov 09 21:47:00 UTC 2022","0","tests","test_api_inspect","","","","test_inpect_linkages",""
"passed","Wed Nov 09 22:11:49 UTC 2022","Wed Nov 09 22:11:51 UTC 2022","1534","tests","test_subpackages","","","","test_git_in_output_version",""
"passed","Wed Nov 09 22:07:08 UTC 2022","Wed Nov 09 22:07:19 UTC 2022","10210","tests","test_subpackages","","","","test_subpackage_recipes[test_files_copying]",""
"passed","Wed Nov 09 21:44:21 UTC 2022","Wed Nov 09 21:44:21 UTC 2022","366","tests","test_api_convert","","","","test_convert_no_dependencies[package0-linux]",""
"passed","Wed Nov 09 21:42:20 UTC 2022","Wed Nov 09 21:42:22 UTC 2022","2298","tests","test_api_build","","","","test_extra_meta",""
"passed","Wed Nov 09 22:21:45 UTC 2022","Wed Nov 09 22:21:46 UTC 2022","489","tests","test_variants","","","","test_variant_with_numpy_pinned_has_matrix",""
"passed","Wed Nov 09 21:40:24 UTC 2022","Wed Nov 09 21:41:08 UTC 2022","43766","tests","test_api_build","","","","test_empty_package_with_python_in_build_and_host_barfs",""
"passed","Wed Nov 09 21:57:46 UTC 2022","Wed Nov 09 21:57:46 UTC 2022","296","tests","test_cli","","","","test_render_output_build_path_and_file",""
"passed","Wed Nov 09 21:54:10 UTC 2022","Wed Nov 09 21:54:10 UTC 2022","0","tests","test_cli","","","","test_long_test_prefix[additional_args2-False]",""
"passed","Wed Nov 09 21:31:44 UTC 2022","Wed Nov 09 21:31:56 UTC 2022","12219","tests","test_api_build","","","","test_ignore_run_exports",""
"passed","Wed Nov 09 21:50:08 UTC 2022","Wed Nov 09 21:50:08 UTC 2022","157","tests","test_api_render","","","","test_cross_info_index_platform",""
"passed","Wed Nov 09 22:15:01 UTC 2022","Wed Nov 09 22:15:01 UTC 2022","0","tests","test_utils","","","","test_prepend_sys_path",""
"passed","Wed Nov 09 22:00:10 UTC 2022","Wed Nov 09 22:00:10 UTC 2022","0","tests","test_pypi_skeleton","","","","test_print_dict",""
"skipped","Wed Nov 09 21:48:06 UTC 2022","Wed Nov 09 21:48:06 UTC 2022","0","tests","test_api_skeleton","","","","test_build_sh_shellcheck_clean[r-rmarkdown-cran]",""
"passed","Wed Nov 09 21:40:52 UTC 2022","Wed Nov 09 21:41:29 UTC 2022","36883","tests","test_api_build","","","","test_overlinking_detection_ignore_patterns",""
"passed","Wed Nov 09 21:54:13 UTC 2022","Wed Nov 09 21:54:13 UTC 2022","0","tests","test_cran_skeleton","","","","test_get_license_info[MPL-2.0-MPL-2.0-OTHER-]",""
"passed","Wed Nov 09 22:05:51 UTC 2022","Wed Nov 09 22:06:01 UTC 2022","9773","tests","test_cli","","","","test_build_skip_existing",""
"passed","Wed Nov 09 21:56:08 UTC 2022","Wed Nov 09 21:56:08 UTC 2022","0","tests","test_metadata","","","","test_uses_vcs_in_metadata",""
"passed","Wed Nov 09 22:04:17 UTC 2022","Wed Nov 09 22:04:20 UTC 2022","2193","tests","test_cli","","","","test_inspect_linkages",""
"passed","Wed Nov 09 21:39:43 UTC 2022","Wed Nov 09 21:40:24 UTC 2022","40495","tests","test_api_build","","","","test_overdepending_detection",""
"passed","Wed Nov 09 21:41:52 UTC 2022","Wed Nov 09 21:42:20 UTC 2022","28200","tests","test_api_build","","","","test_warning_on_file_clobbering",""
"passed","Wed Nov 09 21:54:51 UTC 2022","Wed Nov 09 21:54:54 UTC 2022","2746","tests","test_index","","","","test_patch_from_tarball","This is how we expect external communities to provide patches to us.
    We can't let them just give us Python files for us to run, because of the
    security risk of arbitrary code execution."
"passed","Wed Nov 09 21:45:17 UTC 2022","Wed Nov 09 21:45:30 UTC 2022","12879","tests","test_api_debug","","","","test_debug_recipe_custom_path",""
"passed","Wed Nov 09 22:03:08 UTC 2022","Wed Nov 09 22:03:24 UTC 2022","15682","tests","test_cli","","","","test_skeleton_pypi_compatible_versions",""
"passed","Wed Nov 09 21:56:08 UTC 2022","Wed Nov 09 21:56:08 UTC 2022","0","tests","test_license_family","","","","test_gpl3",""
"passed","Wed Nov 09 21:42:38 UTC 2022","Wed Nov 09 21:42:38 UTC 2022","0","tests","test_api_consistency","","","","test_api_render",""
"passed","Wed Nov 09 21:56:08 UTC 2022","Wed Nov 09 21:56:08 UTC 2022","0","tests","test_jinja_context","","","","test_load_file_data[file.yaml-None-a: 1
b:
  - c: 2-expected4]",""
"passed","Wed Nov 09 21:57:02 UTC 2022","Wed Nov 09 21:57:02 UTC 2022","156","tests","test_metadata","","","","test_native_compiler_metadata_osx",""
"passed","Wed Nov 09 22:00:55 UTC 2022","Wed Nov 09 22:01:42 UTC 2022","46822","tests","test_cli","","","","test_build_source",""
"passed","Wed Nov 09 21:43:42 UTC 2022","Wed Nov 09 21:43:42 UTC 2022","0","tests","test_api_skeleton","","","","test_get_tests_require",""
"passed","Wed Nov 09 21:57:30 UTC 2022","Wed Nov 09 21:57:36 UTC 2022","6754","tests","test_cli","","","","test_render_without_channel_fails",""
"passed","Wed Nov 09 21:38:04 UTC 2022","Wed Nov 09 21:38:25 UTC 2022","20992","tests","test_api_build","","","","test_source_cache_build",""
"passed","Wed Nov 09 21:53:15 UTC 2022","Wed Nov 09 21:54:04 UTC 2022","49732","tests","test_api_test","","","","test_recipe_test","Test calling conda build -t <recipe dir>"
