"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 09 23:32:52 UTC 2022","Wed Nov 09 23:32:55 UTC 2022","2819","tests","test_api_build","","","","test_no_anaconda_upload_condarc[binstar]",""
"passed","Wed Nov 09 23:17:18 UTC 2022","Wed Nov 09 23:17:40 UTC 2022","22287","tests","test_api_build","","","","test_recipe_builds[jinja2_build_str]",""
"passed","Wed Nov 09 23:37:26 UTC 2022","Wed Nov 09 23:37:31 UTC 2022","5178","tests","test_variants","","","","test_ensure_valid_spec_on_run_and_test",""
"passed","Wed Nov 09 23:32:29 UTC 2022","Wed Nov 09 23:32:49 UTC 2022","20478","tests","test_api_build","","","","test_recipe_builds[wheel_source]",""
"passed","Wed Nov 09 23:31:50 UTC 2022","Wed Nov 09 23:31:50 UTC 2022","314","tests","test_api_build","","","","test_recipe_builds[unicode_all_over]",""
"skipped","Wed Nov 09 23:33:52 UTC 2022","Wed Nov 09 23:34:13 UTC 2022","20480","tests","test_api_build","","","","test_build_with_activate_does_activate",""
"passed","Wed Nov 09 23:31:26 UTC 2022","Wed Nov 09 23:31:39 UTC 2022","12854","tests","test_api_build","","","","test_recipe_builds[state_variables]",""
"passed","Wed Nov 09 23:19:02 UTC 2022","Wed Nov 09 23:19:04 UTC 2022","2285","tests","test_api_build","","","","test_recipe_builds[jinja_vars]",""
"passed","Wed Nov 09 23:36:50 UTC 2022","Wed Nov 09 23:37:00 UTC 2022","10004","tests","test_cli","","","","test_build_add_channel","This recipe requires the conda_build_test_requirement package, which is
    only on the conda_build_test channel. This verifies that the -c argument
    works."
"passed","Wed Nov 09 23:15:38 UTC 2022","Wed Nov 09 23:15:44 UTC 2022","6387","tests","test_api_build","","","","test_recipe_builds[fix_permissions]",""
"passed","Wed Nov 09 23:27:17 UTC 2022","Wed Nov 09 23:27:19 UTC 2022","2252","tests","test_api_build","","","","test_recipe_builds[selectors_in_imported_templates]",""
"passed","Wed Nov 09 23:19:44 UTC 2022","Wed Nov 09 23:20:09 UTC 2022","25242","tests","test_api_build","","","","test_recipe_builds[no_link]",""
"passed","Wed Nov 09 23:05:46 UTC 2022","Wed Nov 09 23:05:49 UTC 2022","2227","tests","test_api_build","","","","test_recipe_builds[empty_patch_section]",""
"passed","Wed Nov 09 23:29:44 UTC 2022","Wed Nov 09 23:30:20 UTC 2022","36063","tests","test_api_build","","","","test_recipe_builds[source_regex_from_recipe_dir]",""
"skipped","Wed Nov 09 23:34:56 UTC 2022","Wed Nov 09 23:34:56 UTC 2022","0","tests","test_api_build","","","","test_copy_read_only_file_with_xattr",""
"passed","Wed Nov 09 23:23:25 UTC 2022","Wed Nov 09 23:23:45 UTC 2022","19806","tests","test_api_build","","","","test_recipe_builds[preserve_egg_dir]",""
"passed","Wed Nov 09 23:33:34 UTC 2022","Wed Nov 09 23:33:52 UTC 2022","18346","tests","test_api_build","","","","test_build_with_no_activate_does_not_activate",""
"skipped","Wed Nov 09 23:32:49 UTC 2022","Wed Nov 09 23:32:52 UTC 2022","2538","tests","test_api_build","","","","test_token_upload",""
"passed","Wed Nov 09 23:32:27 UTC 2022","Wed Nov 09 23:32:29 UTC 2022","2238","tests","test_api_build","","","","test_recipe_builds[unknown_selector]",""
"passed","Wed Nov 09 23:34:13 UTC 2022","Wed Nov 09 23:34:56 UTC 2022","43298","tests","test_api_build","","","","test_numpy_setup_py_data",""
"passed","Wed Nov 09 23:15:44 UTC 2022","Wed Nov 09 23:15:53 UTC 2022","8652","tests","test_api_build","","","","test_recipe_builds[float_misinterpretation]",""
"passed","Wed Nov 09 23:17:40 UTC 2022","Wed Nov 09 23:17:57 UTC 2022","16299","tests","test_api_build","","","","test_recipe_builds[jinja_load_setuptools]",""
"passed","Wed Nov 09 23:27:40 UTC 2022","Wed Nov 09 23:28:03 UTC 2022","23325","tests","test_api_build","","","","test_recipe_builds[source_git]",""
"passed","Wed Nov 09 23:26:21 UTC 2022","Wed Nov 09 23:27:17 UTC 2022","55692","tests","test_api_build","","","","test_recipe_builds[r_test_import]",""
"passed","Wed Nov 09 23:06:07 UTC 2022","Wed Nov 09 23:13:35 UTC 2022","447410","tests","test_api_build","","","","test_recipe_builds[entry_points]",""
"passed","Wed Nov 09 23:35:31 UTC 2022","Wed Nov 09 23:36:50 UTC 2022","78805","tests","test_api_build_go_package","","","","test_recipe_build",""
"passed","Wed Nov 09 23:05:49 UTC 2022","Wed Nov 09 23:05:57 UTC 2022","8637","tests","test_api_build","","","","test_recipe_builds[empty_run_section]",""
"passed","Wed Nov 09 23:27:19 UTC 2022","Wed Nov 09 23:27:40 UTC 2022","20246","tests","test_api_build","","","","test_recipe_builds[skip_compile_pyc]",""
"passed","Wed Nov 09 23:28:03 UTC 2022","Wed Nov 09 23:28:27 UTC 2022","23625","tests","test_api_build","","","","test_recipe_builds[source_git_am]",""
"passed","Wed Nov 09 23:32:55 UTC 2022","Wed Nov 09 23:32:58 UTC 2022","2769","tests","test_api_build","","","","test_no_anaconda_upload_condarc[anaconda]",""
"passed","Wed Nov 09 23:05:13 UTC 2022","Wed Nov 09 23:05:13 UTC 2022","156","tests","test_api_build","","","","test_recipe_builds[cdt_linking]",""
"passed","Wed Nov 09 23:34:56 UTC 2022","Wed Nov 09 23:35:20 UTC 2022","24404","tests","test_api_build","","","","test_env_creation_fail_exits_build",""
"passed","Wed Nov 09 23:19:20 UTC 2022","Wed Nov 09 23:19:20 UTC 2022","110","tests","test_api_build","","","","test_recipe_builds[nested_prefix]",""
"passed","Wed Nov 09 23:30:20 UTC 2022","Wed Nov 09 23:31:05 UTC 2022","45042","tests","test_api_build","","","","test_recipe_builds[source_setup_py_data]",""
"passed","Wed Nov 09 23:25:56 UTC 2022","Wed Nov 09 23:26:21 UTC 2022","25398","tests","test_api_build","","","","test_recipe_builds[relative_url_download]",""
"passed","Wed Nov 09 23:32:58 UTC 2022","Wed Nov 09 23:33:01 UTC 2022","3535","tests","test_api_build","","","","test_offline[binstar]",""
"passed","Wed Nov 09 23:37:02 UTC 2022","Wed Nov 09 23:37:04 UTC 2022","2175","tests","test_cli","","","","test_purge_all","
    purge-all clears out build folders as well as build packages in the osx-64 folders and such
    "
"passed","Wed Nov 09 23:02:44 UTC 2022","Wed Nov 09 23:03:30 UTC 2022","46201","tests","test_api_build","","","","test_recipe_builds[always_include_files_glob]",""
"passed","Wed Nov 09 23:35:20 UTC 2022","Wed Nov 09 23:35:31 UTC 2022","10570","tests","test_api_build","","","","test_verify_bad_package",""
"passed","Wed Nov 09 23:16:37 UTC 2022","Wed Nov 09 23:16:43 UTC 2022","6405","tests","test_api_build","","","","test_recipe_builds[hoist_source_multilevel]",""
"passed","Wed Nov 09 23:28:27 UTC 2022","Wed Nov 09 23:28:51 UTC 2022","24572","tests","test_api_build","","","","test_recipe_builds[source_git_jinja2]",""
"passed","Wed Nov 09 23:04:09 UTC 2022","Wed Nov 09 23:04:30 UTC 2022","21421","tests","test_api_build","","","","test_recipe_builds[build_env]",""
"passed","Wed Nov 09 23:37:26 UTC 2022","Wed Nov 09 23:37:26 UTC 2022","0","tests","test_utils","","","","test_logger_filtering",""
"skipped","Wed Nov 09 23:32:49 UTC 2022","Wed Nov 09 23:32:49 UTC 2022","0","tests","test_api_build","","","","test_ignore_some_prefix_files",""
"passed","Wed Nov 09 23:15:00 UTC 2022","Wed Nov 09 23:15:38 UTC 2022","38293","tests","test_api_build","","","","test_recipe_builds[extra_freeform_metadata]",""
"passed","Wed Nov 09 23:05:13 UTC 2022","Wed Nov 09 23:05:46 UTC 2022","33079","tests","test_api_build","","","","test_recipe_builds[ds_store_ignored]",""
"passed","Wed Nov 09 23:33:01 UTC 2022","Wed Nov 09 23:33:05 UTC 2022","3897","tests","test_api_build","","","","test_offline[anaconda]",""
"passed","Wed Nov 09 23:20:09 UTC 2022","Wed Nov 09 23:21:20 UTC 2022","71512","tests","test_api_build","","","","test_recipe_builds[numpy_build]",""
"passed","Wed Nov 09 23:04:30 UTC 2022","Wed Nov 09 23:04:52 UTC 2022","21245","tests","test_api_build","","","","test_recipe_builds[build_number]",""
"passed","Wed Nov 09 23:23:45 UTC 2022","Wed Nov 09 23:24:25 UTC 2022","40757","tests","test_api_build","","","","test_recipe_builds[python_build]",""
"passed","Wed Nov 09 23:15:53 UTC 2022","Wed Nov 09 23:16:37 UTC 2022","43713","tests","test_api_build","","","","test_recipe_builds[has_prefix_files]",""
"passed","Wed Nov 09 23:31:41 UTC 2022","Wed Nov 09 23:31:50 UTC 2022","8687","tests","test_api_build","","","","test_recipe_builds[test_source_files]",""
"passed","Wed Nov 09 23:06:00 UTC 2022","Wed Nov 09 23:06:07 UTC 2022","7190","tests","test_api_build","","","","test_recipe_builds[empty_with_build_script]",""
"passed","Wed Nov 09 23:05:57 UTC 2022","Wed Nov 09 23:06:00 UTC 2022","3036","tests","test_api_build","","","","test_recipe_builds[empty_sections]",""
"passed","Wed Nov 09 23:04:52 UTC 2022","Wed Nov 09 23:05:13 UTC 2022","21138","tests","test_api_build","","","","test_recipe_builds[build_string]",""
"passed","Wed Nov 09 23:16:43 UTC 2022","Wed Nov 09 23:16:50 UTC 2022","6306","tests","test_api_build","","","","test_recipe_builds[hoist_source_multilevel_shadow]",""
"passed","Wed Nov 09 23:19:18 UTC 2022","Wed Nov 09 23:19:20 UTC 2022","2291","tests","test_api_build","","","","test_recipe_builds[multiple_sources]",""
"passed","Wed Nov 09 23:13:35 UTC 2022","Wed Nov 09 23:15:00 UTC 2022","84743","tests","test_api_build","","","","test_recipe_builds[entry_points_have_prefix]",""
"passed","Wed Nov 09 23:15:00 UTC 2022","Wed Nov 09 23:15:00 UTC 2022","125","tests","test_api_build","","","","test_recipe_builds[entry_points_have_prefix_noarch_has_prefix_files]",""
"passed","Wed Nov 09 23:18:36 UTC 2022","Wed Nov 09 23:19:02 UTC 2022","26485","tests","test_api_build","","","","test_recipe_builds[jinja_load_yaml]",""
"passed","Wed Nov 09 23:24:57 UTC 2022","Wed Nov 09 23:25:27 UTC 2022","30795","tests","test_api_build","","","","test_recipe_builds[python_env_defined]",""
"skipped","Wed Nov 09 23:31:05 UTC 2022","Wed Nov 09 23:31:05 UTC 2022","0","tests","test_api_build","","","","test_recipe_builds[source_setup_py_data_subdir]",""
"passed","Wed Nov 09 23:21:20 UTC 2022","Wed Nov 09 23:22:06 UTC 2022","45481","tests","test_api_build","","","","test_recipe_builds[numpy_build_run]",""
"passed","Wed Nov 09 23:19:20 UTC 2022","Wed Nov 09 23:19:41 UTC 2022","21301","tests","test_api_build","","","","test_recipe_builds[nested_recipe]",""
"passed","Wed Nov 09 23:37:00 UTC 2022","Wed Nov 09 23:37:02 UTC 2022","2238","tests","test_cli","","","","test_purge","
    purge clears out build folders - things like some_pkg_12048309850135

    It does not clear out build packages from folders like osx-64 or linux-64.
    "
"passed","Wed Nov 09 23:19:41 UTC 2022","Wed Nov 09 23:19:44 UTC 2022","2205","tests","test_api_build","","","","test_recipe_builds[noarch_generic]",""
"passed","Wed Nov 09 23:29:08 UTC 2022","Wed Nov 09 23:29:44 UTC 2022","35715","tests","test_api_build","","","","test_recipe_builds[source_regex]",""
"passed","Wed Nov 09 23:33:05 UTC 2022","Wed Nov 09 23:33:34 UTC 2022","28713","tests","test_api_build","","","","test_early_abort","There have been some problems with conda-build dropping out early.
    Make sure we aren't causing them"
"passed","Wed Nov 09 23:31:05 UTC 2022","Wed Nov 09 23:31:26 UTC 2022","20439","tests","test_api_build","","","","test_recipe_builds[source_url]",""
"passed","Wed Nov 09 23:31:39 UTC 2022","Wed Nov 09 23:31:41 UTC 2022","2238","tests","test_api_build","","","","test_recipe_builds[symlinks]",""
"skipped","Wed Nov 09 23:32:49 UTC 2022","Wed Nov 09 23:32:49 UTC 2022","0","tests","test_api_build","","","","test_ignore_prefix_files",""
"passed","Wed Nov 09 23:24:25 UTC 2022","Wed Nov 09 23:24:57 UTC 2022","31129","tests","test_api_build","","","","test_recipe_builds[python_build_run]",""
"passed","Wed Nov 09 23:19:04 UTC 2022","Wed Nov 09 23:19:18 UTC 2022","13106","tests","test_api_build","","","","test_recipe_builds[libarchive]",""
"passed","Wed Nov 09 23:03:30 UTC 2022","Wed Nov 09 23:03:43 UTC 2022","12804","tests","test_api_build","","","","test_recipe_builds[arbitrary_file_in_info_dir]",""
"passed","Wed Nov 09 23:28:51 UTC 2022","Wed Nov 09 23:29:01 UTC 2022","10153","tests","test_api_build","","","","test_recipe_builds[source_multiple]",""
