"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 09 21:21:31 UTC 2022","Wed Nov 09 21:21:57 UTC 2022","26090","tests","test_api_build","","","","test_cmake_generator[3.7-32]",""
"passed","Wed Nov 09 21:32:47 UTC 2022","Wed Nov 09 21:33:25 UTC 2022","38042","tests","test_api_build","","","","test_run_exports",""
"passed","Wed Nov 09 21:26:01 UTC 2022","Wed Nov 09 21:26:10 UTC 2022","9425","tests","test_api_build","","","","test_about_json_content",""
"passed","Wed Nov 09 21:44:28 UTC 2022","Wed Nov 09 21:44:28 UTC 2022","0","tests","test_api_skeleton","","","","test_is_setuptools_enabled",""
"passed","Wed Nov 09 22:06:26 UTC 2022","Wed Nov 09 22:06:29 UTC 2022","3352","tests","test_cli","","","","test_no_force_upload",""
"skipped","Wed Nov 09 21:23:05 UTC 2022","Wed Nov 09 21:23:05 UTC 2022","0","tests","test_api_build","","","","test_rpath_unix",""
"passed","Wed Nov 09 21:23:04 UTC 2022","Wed Nov 09 21:23:05 UTC 2022","1126","tests","test_api_build","","","","test_noarch",""
"passed","Wed Nov 09 21:55:17 UTC 2022","Wed Nov 09 21:55:21 UTC 2022","3476","tests","test_index","","","","test_gen_patch_py","
    This is a channel-wide file that applies to many subdirs.  It must have a function with this signature:

    def _patch_repodata(repodata, subdir):

    That function must return a dictionary of patch instructions, of the form:

    {
        ""patch_instructions_version"": 1,
        ""packages"": defaultdict(dict),
        ""revoke"": [],
        ""remove"": [],
    }

    revoke and remove are lists of filenames. remove makes the file not show up
    in the index (it may still be downloadable with a direct URL to the file).
    revoke makes packages uninstallable by adding an unsatisfiable dependency.
    This can be made installable by including a channel that has that package
    (to be created by @jjhelmus).

    packages is a dictionary, where keys are package filenames. Values are
    dictionaries similar to the contents of each package in repodata.json. Any
    values in provided in packages here overwrite the values in repodata.json.
    Any value set to None is removed.
    "
"passed","Wed Nov 09 22:23:05 UTC 2022","Wed Nov 09 22:23:05 UTC 2022","0","tests.cli","test_validators","","","","test_validate_is_conda_pkg_or_recipe_dir[aws-c-common-0.4.57-hb1e8313_1.conda-aws-c-common-0.4.57-hb1e8313_1.conda-False-True]",""
"passed","Wed Nov 09 22:19:24 UTC 2022","Wed Nov 09 22:19:25 UTC 2022","1678","tests","test_variants","","","","test_variants_in_versions_with_setup_py_data",""
"passed","Wed Nov 09 21:52:43 UTC 2022","Wed Nov 09 21:52:47 UTC 2022","3592","tests","test_cli","","","","test_build_skip_existing_croot",""
"passed","Wed Nov 09 21:43:08 UTC 2022","Wed Nov 09 21:43:08 UTC 2022","111","tests","test_api_build","","","","test_clean_rpaths",""
"passed","Wed Nov 09 22:14:58 UTC 2022","Wed Nov 09 22:15:00 UTC 2022","1829","tests","test_subpackages","","","","test_inherit_build_number",""
"passed","Wed Nov 09 21:44:05 UTC 2022","Wed Nov 09 21:44:28 UTC 2022","23061","tests","test_api_skeleton","","","","test_pypi_url",""
"passed","Wed Nov 09 21:55:21 UTC 2022","Wed Nov 09 21:55:25 UTC 2022","4171","tests","test_index","","","","test_channel_patch_instructions_json",""
"passed","Wed Nov 09 21:56:47 UTC 2022","Wed Nov 09 21:56:47 UTC 2022","0","tests","test_license_family","","","","test_cc",""
"passed","Wed Nov 09 22:00:58 UTC 2022","Wed Nov 09 22:00:58 UTC 2022","125","tests","test_source","","","","test_multiple_url_sources_into_same_folder",""
"skipped","Wed Nov 09 21:21:57 UTC 2022","Wed Nov 09 21:21:57 UTC 2022","0","tests","test_api_build","","","","test_symlink_fail",""
"skipped","Wed Nov 09 21:30:51 UTC 2022","Wed Nov 09 21:30:51 UTC 2022","0","tests","test_api_build","","","","test_preferred_env",""
"passed","Wed Nov 09 22:05:41 UTC 2022","Wed Nov 09 22:05:43 UTC 2022","1877","tests","test_cli","","","","test_inspect_linkages",""
"passed","Wed Nov 09 21:56:33 UTC 2022","Wed Nov 09 21:57:17 UTC 2022","44207","tests","test_api_test","","","","test_api_extra_dep",""
"passed","Wed Nov 09 21:56:46 UTC 2022","Wed Nov 09 21:56:46 UTC 2022","0","tests","test_license_family","","","","test_gpl3",""
"passed","Wed Nov 09 21:55:49 UTC 2022","Wed Nov 09 21:55:49 UTC 2022","0","tests","test_jinja_context","","","","test_pin_subpackage_exact",""
"passed","Wed Nov 09 22:19:54 UTC 2022","Wed Nov 09 22:19:55 UTC 2022","578","tests","test_variants","","","","test_subspace_selection",""
"passed","Wed Nov 09 21:45:07 UTC 2022","Wed Nov 09 21:45:07 UTC 2022","391","tests","test_api_convert","","","","test_convert_dependencies[package0-osx]",""
"passed","Wed Nov 09 21:59:14 UTC 2022","Wed Nov 09 21:59:15 UTC 2022","914","tests","test_cli","","","","test_render_output_build_path",""
"skipped","Wed Nov 09 21:51:39 UTC 2022","Wed Nov 09 21:51:39 UTC 2022","0","tests","test_api_render","","","","test_run_exports_from_repo_without_channeldata",""
"passed","Wed Nov 09 21:55:49 UTC 2022","Wed Nov 09 21:55:49 UTC 2022","15","tests","test_jinja_context","","","","test_pin_major_minor",""
"passed","Wed Nov 09 21:44:44 UTC 2022","Wed Nov 09 21:44:44 UTC 2022","80","tests","test_api_convert","","","","test_no_platform[package0-win]",""
"passed","Wed Nov 09 21:42:37 UTC 2022","Wed Nov 09 21:43:06 UTC 2022","28434","tests","test_api_build","","","","test_warning_on_file_clobbering",""
"passed","Wed Nov 09 22:08:04 UTC 2022","Wed Nov 09 22:12:50 UTC 2022","286508","tests","test_subpackages","","","","test_intradependencies",""
