"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 09 23:32:32 UTC 2022","Wed Nov 09 23:33:31 UTC 2022","59152","tests","test_api_build","","","","test_recipe_builds[python_build_run]",""
"passed","Wed Nov 09 23:30:28 UTC 2022","Wed Nov 09 23:30:32 UTC 2022","3422","tests","test_api_build","","","","test_recipe_builds[unknown_selector]",""
"passed","Wed Nov 09 23:23:17 UTC 2022","Wed Nov 09 23:23:22 UTC 2022","4668","tests","test_api_build","","","","test_recipe_builds[selectors_in_imported_templates]",""
"passed","Thu Nov 10 00:03:38 UTC 2022","Thu Nov 10 00:04:26 UTC 2022","48822","tests","test_metadata","","","","test_build_bootstrap_env_by_name",""
"passed","Thu Nov 10 00:03:33 UTC 2022","Thu Nov 10 00:03:38 UTC 2022","4043","tests","test_cli","","","","test_purge_all","
    purge-all clears out build folders as well as build packages in the osx-64 folders and such
    "
"passed","Wed Nov 09 23:53:30 UTC 2022","Wed Nov 09 23:54:05 UTC 2022","35161","tests","test_api_build","","","","test_recipe_builds[relative_url_download]",""
"passed","Thu Nov 10 00:00:17 UTC 2022","Thu Nov 10 00:00:51 UTC 2022","33953","tests","test_api_build","","","","test_env_creation_fail_exits_build",""
"passed","Wed Nov 09 23:25:05 UTC 2022","Wed Nov 09 23:25:39 UTC 2022","33841","tests","test_api_build","","","","test_recipe_builds[ds_store_ignored]",""
"passed","Thu Nov 10 00:01:03 UTC 2022","Thu Nov 10 00:03:07 UTC 2022","124236","tests","test_api_build_go_package","","","","test_recipe_build",""
"passed","Wed Nov 09 23:44:22 UTC 2022","Wed Nov 09 23:45:55 UTC 2022","92604","tests","test_api_build","","","","test_recipe_builds[entry_points_have_prefix_noarch_has_prefix_files]",""
"passed","Wed Nov 09 23:34:52 UTC 2022","Wed Nov 09 23:35:00 UTC 2022","8513","tests","test_api_build","","","","test_recipe_builds[source_path]",""
"passed","Thu Nov 10 00:03:28 UTC 2022","Thu Nov 10 00:03:33 UTC 2022","5094","tests","test_cli","","","","test_purge","
    purge clears out build folders - things like some_pkg_12048309850135

    It does not clear out build packages from folders like osx-64 or linux-64.
    "
"passed","Wed Nov 09 23:42:24 UTC 2022","Wed Nov 09 23:43:21 UTC 2022","56339","tests","test_api_build","","","","test_recipe_builds[wheel_source]",""
"passed","Wed Nov 09 23:37:03 UTC 2022","Wed Nov 09 23:38:13 UTC 2022","70135","tests","test_api_build","","","","test_recipe_builds[osx_is_app]",""
"passed","Wed Nov 09 23:56:56 UTC 2022","Wed Nov 09 23:57:47 UTC 2022","50618","tests","test_api_build","","","","test_recipe_builds[binary_has_prefix_files_list]",""
"passed","Wed Nov 09 23:20:04 UTC 2022","Wed Nov 09 23:21:03 UTC 2022","59551","tests","test_api_build","","","","test_recipe_builds[test_source_files]",""
"passed","Wed Nov 09 23:29:47 UTC 2022","Wed Nov 09 23:30:28 UTC 2022","40871","tests","test_api_build","","","","test_recipe_builds[jinja_load_setuptools]",""
"skipped","Wed Nov 09 23:57:47 UTC 2022","Wed Nov 09 23:57:47 UTC 2022","0","tests","test_api_build","","","","test_ignore_some_prefix_files",""
"passed","Wed Nov 09 23:43:21 UTC 2022","Wed Nov 09 23:43:51 UTC 2022","30257","tests","test_api_build","","","","test_recipe_builds[jinja2_build_str]",""
"passed","Wed Nov 09 23:38:13 UTC 2022","Wed Nov 09 23:39:14 UTC 2022","60906","tests","test_api_build","","","","test_recipe_builds[unicode_in_meta]",""
"passed","Wed Nov 09 23:35:50 UTC 2022","Wed Nov 09 23:35:53 UTC 2022","2990","tests","test_api_build","","","","test_recipe_builds[multiple_sources]",""
"passed","Wed Nov 09 23:57:50 UTC 2022","Wed Nov 09 23:57:53 UTC 2022","2919","tests","test_api_build","","","","test_no_anaconda_upload_condarc[binstar]",""
"passed","Wed Nov 09 23:47:30 UTC 2022","Wed Nov 09 23:49:24 UTC 2022","113747","tests","test_api_build","","","","test_recipe_builds[r_test_import]",""
