"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Nov 22 15:36:54 UTC 2022","Tue Nov 22 15:36:54 UTC 2022","0","tests","test_api_build","","","","test_run_exports_noarch_python",""
"passed","Tue Nov 22 15:35:14 UTC 2022","Tue Nov 22 15:35:24 UTC 2022","9221","tests","test_api_build","","","","test_output_folder_moves_file",""
"passed","Tue Nov 22 15:33:53 UTC 2022","Tue Nov 22 15:34:26 UTC 2022","33107","tests","test_api_build","","","","test_relative_git_url_submodule_clone","
    A multi-part test encompassing the following checks:

    1. That git submodules identified with both relative and absolute URLs can be mirrored
       and cloned.

    2. That changes pushed to the original repository are updated in the mirror and finally
       reflected in the package version and filename via `GIT_DESCRIBE_TAG`.

    3. That `source.py` is using `check_call_env` and `check_output_env` and that those
       functions are using tools from the build env.
    "
"passed","Tue Nov 22 15:32:30 UTC 2022","Tue Nov 22 15:32:33 UTC 2022","3871","tests","test_api_build","","","","test_recursive_fail",""
"passed","Tue Nov 22 15:39:58 UTC 2022","Tue Nov 22 15:40:04 UTC 2022","6047","tests","test_api_build","","","","test_python_xx",""
"skipped","Tue Nov 22 15:42:49 UTC 2022","Tue Nov 22 15:42:49 UTC 2022","0","tests","test_api_build","","","","test_warning_on_file_clobbering",""
"passed","Tue Nov 22 15:36:47 UTC 2022","Tue Nov 22 15:36:54 UTC 2022","7181","tests","test_api_build","","","","test_ignore_run_exports_from",""
"passed","Tue Nov 22 15:32:33 UTC 2022","Tue Nov 22 15:32:35 UTC 2022","2023","tests","test_api_build","","","","test_skip_existing",""
"passed","Tue Nov 22 15:40:04 UTC 2022","Tue Nov 22 15:40:54 UTC 2022","49709","tests","test_api_build","","","","test_indirect_numpy_dependency",""
"skipped","Tue Nov 22 15:33:53 UTC 2022","Tue Nov 22 15:33:53 UTC 2022","0","tests","test_api_build","","","","test_backslash_in_always_include_files_path",""
"passed","Tue Nov 22 15:35:31 UTC 2022","Tue Nov 22 15:35:50 UTC 2022","18020","tests","test_api_build","","","","test_keep_workdir_and_dirty_reuse",""
"passed","Tue Nov 22 15:35:24 UTC 2022","Tue Nov 22 15:35:41 UTC 2022","17622","tests","test_api_build","","","","test_remove_workdir_default[True]",""
"passed","Tue Nov 22 15:42:07 UTC 2022","Tue Nov 22 15:42:34 UTC 2022","27049","tests","test_api_build","","","","test_empty_package_with_python_and_compiler_in_build_barfs",""
"passed","Tue Nov 22 15:32:50 UTC 2022","Tue Nov 22 15:33:42 UTC 2022","52251","tests","test_api_build","","","","test_cmake_generator[3.10-64]",""
"passed","Tue Nov 22 15:41:09 UTC 2022","Tue Nov 22 15:41:10 UTC 2022","713","tests","test_api_build","","","","test_failed_patch_exits_build",""
"passed","Tue Nov 22 15:32:20 UTC 2022","Tue Nov 22 15:32:21 UTC 2022","1005","tests","test_api_build","","","","test_relative_path_git_versioning",""
"passed","Tue Nov 22 15:35:41 UTC 2022","Tue Nov 22 15:35:59 UTC 2022","17957","tests","test_api_build","","","","test_remove_workdir_default[False]",""
"passed","Tue Nov 22 15:37:31 UTC 2022","Tue Nov 22 15:37:32 UTC 2022","951","tests","test_api_build","","","","test_pin_subpackage_exact",""
"passed","Tue Nov 22 15:38:20 UTC 2022","Tue Nov 22 15:38:22 UTC 2022","1905","tests","test_api_build","","","","test_run_constrained_stores_constrains_info",""
"passed","Tue Nov 22 15:32:35 UTC 2022","Tue Nov 22 15:32:48 UTC 2022","12674","tests","test_api_build","","","","test_build_metadata_object",""
"passed","Tue Nov 22 15:42:51 UTC 2022","Tue Nov 22 15:42:53 UTC 2022","1684","tests","test_api_build","","","","test_extra_meta",""
"passed","Tue Nov 22 15:39:43 UTC 2022","Tue Nov 22 15:39:58 UTC 2022","15327","tests","test_api_build","","","","test_numpy_xx_host",""
