"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 06 15:41:37 UTC 2023","Fri Jan 06 15:42:09 UTC 2023","31282","tests","test_api_build","","","","test_symlink_dirs_in_always_include_files",""
"passed","Fri Jan 06 15:42:53 UTC 2023","Fri Jan 06 15:43:05 UTC 2023","11262","tests","test_api_debug","","","","test_debug_package_custom_path",""
"passed","Fri Jan 06 16:16:25 UTC 2023","Fri Jan 06 16:16:25 UTC 2023","0","tests","test_utils","","","","test_find_recipe_file",""
"passed","Fri Jan 06 15:48:21 UTC 2023","Fri Jan 06 15:49:00 UTC 2023","38714","tests","test_cli","","","","test_build_no_build_id",""
"passed","Fri Jan 06 15:56:16 UTC 2023","Fri Jan 06 15:56:16 UTC 2023","0","tests","test_license_family","","","","test_guess_license_family[GPL-2 | file LICENSE-GPL2]","Test cases where new and deprecated functions match"
"passed","Fri Jan 06 16:21:55 UTC 2023","Fri Jan 06 16:21:55 UTC 2023","0","tests.cli","test_validators","","","","test_validate_is_conda_pkg_or_recipe_dir[somedir-somedir-True-True]",""
"passed","Fri Jan 06 15:31:51 UTC 2023","Fri Jan 06 15:31:59 UTC 2023","7517","tests","test_api_build","","","","test_fix_permissions",""
"passed","Fri Jan 06 15:46:54 UTC 2023","Fri Jan 06 15:46:54 UTC 2023","0","tests","test_api_skeleton","","","","test_license_name",""
"passed","Fri Jan 06 15:56:16 UTC 2023","Fri Jan 06 15:56:16 UTC 2023","0","tests","test_license_family","","","","test_guess_license_family[BSD License and GNU Library or Lesser General Public License (LGPL)-LGPL]","Test cases where new and deprecated functions match"
"passed","Fri Jan 06 15:45:06 UTC 2023","Fri Jan 06 15:45:17 UTC 2023","11022","tests","test_api_render","","","","test_run_exports_with_pin_compatible_in_subpackages",""
"passed","Fri Jan 06 15:46:54 UTC 2023","Fri Jan 06 15:46:54 UTC 2023","0","tests","test_api_skeleton","","","","test_get_import_tests",""
"passed","Fri Jan 06 15:56:16 UTC 2023","Fri Jan 06 15:56:16 UTC 2023","0","tests","test_license_family","","","","test_guess_license_family[MIT + file LICENSE | Unlimited-MIT]","Test cases where new and deprecated functions match"
"passed","Fri Jan 06 15:41:48 UTC 2023","Fri Jan 06 15:41:48 UTC 2023","301","tests","test_api_convert","","","","test_c_extension_error[package0-win]",""
"passed","Fri Jan 06 15:43:09 UTC 2023","Fri Jan 06 15:43:09 UTC 2023","0","tests","test_api_consistency","","","","test_api_skeletonize",""
"passed","Fri Jan 06 15:34:21 UTC 2023","Fri Jan 06 15:34:29 UTC 2023","7910","tests","test_api_build","","","","test_no_force_upload_condarc_setting",""
"passed","Fri Jan 06 15:27:10 UTC 2023","Fri Jan 06 15:27:19 UTC 2023","8954","tests","test_api_build","","","","test_dirty_variable_available_in_build_scripts",""
"passed","Fri Jan 06 15:46:20 UTC 2023","Fri Jan 06 15:46:20 UTC 2023","1","tests","test_api_skeleton","","","","test_list_skeletons",""
"passed","Fri Jan 06 15:36:23 UTC 2023","Fri Jan 06 15:36:32 UTC 2023","8834","tests","test_api_build","","","","test_runtime_dependencies",""
"passed","Fri Jan 06 15:40:46 UTC 2023","Fri Jan 06 15:40:46 UTC 2023","0","tests","test_api_consistency","","","","test_api_develop",""
"passed","Fri Jan 06 15:45:06 UTC 2023","Fri Jan 06 15:45:38 UTC 2023","31950","tests","test_api_skeleton","","","","test_pypi_with_setup_options",""
"passed","Fri Jan 06 16:01:12 UTC 2023","Fri Jan 06 16:02:06 UTC 2023","53184","tests","test_subpackages","","","","test_subpackage_recipes[split_packages_hash_resolution]",""
"passed","Fri Jan 06 15:56:16 UTC 2023","Fri Jan 06 15:56:16 UTC 2023","1","tests","test_license_family","","","","test_guess_license_family[LGPL-3-LGPL]","Test cases where new and deprecated functions match"
"passed","Fri Jan 06 15:28:29 UTC 2023","Fri Jan 06 15:28:29 UTC 2023","11","tests","test_api_build","","","","test_pip_in_meta_yaml_fail",""
"passed","Fri Jan 06 15:45:38 UTC 2023","Fri Jan 06 15:46:00 UTC 2023","21374","tests","test_api_skeleton","","","","test_pypi_pin_numpy",""
"passed","Fri Jan 06 15:56:04 UTC 2023","Fri Jan 06 15:56:06 UTC 2023","1739","tests","test_index","","","","test_index_invalid_packages",""
"passed","Fri Jan 06 16:08:19 UTC 2023","Fri Jan 06 16:09:53 UTC 2023","93973","tests","test_subpackages","","","","test_toplevel_entry_points_do_not_apply_to_subpackages",""
"passed","Fri Jan 06 15:51:46 UTC 2023","Fri Jan 06 15:51:48 UTC 2023","1991","tests","test_cli","","","","test_inspect_linkages",""
"passed","Fri Jan 06 15:56:26 UTC 2023","Fri Jan 06 15:56:26 UTC 2023","115","tests","test_metadata","","","","test_native_compiler_metadata_win[py_ver1]",""
