"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 06 15:41:01 UTC 2023","Fri Jan 06 15:41:57 UTC 2023","56799","tests","test_api_build","","","","test_recipe_builds[entry_points_have_prefix_noarch_has_prefix_files]",""
"passed","Fri Jan 06 16:07:21 UTC 2023","Fri Jan 06 16:07:34 UTC 2023","13636","tests","test_metadata","","","","test_build_bootstrap_env_by_name",""
"passed","Fri Jan 06 15:52:24 UTC 2023","Fri Jan 06 15:52:58 UTC 2023","34151","tests","test_api_build","","","","test_recipe_builds[jinja_load_toml]",""
"passed","Fri Jan 06 15:54:36 UTC 2023","Fri Jan 06 15:54:57 UTC 2023","20827","tests","test_api_build","","","","test_recipe_builds[source_git_jinja2]",""
"passed","Fri Jan 06 15:58:21 UTC 2023","Fri Jan 06 15:58:27 UTC 2023","6095","tests","test_api_build","","","","test_offline[anaconda]",""
"passed","Fri Jan 06 15:48:12 UTC 2023","Fri Jan 06 15:48:47 UTC 2023","34783","tests","test_api_build","","","","test_recipe_builds[python_env_defined]",""
"passed","Fri Jan 06 16:05:40 UTC 2023","Fri Jan 06 16:06:39 UTC 2023","59771","tests","test_api_build_go_package","","","","test_recipe_build",""
"passed","Fri Jan 06 15:40:52 UTC 2023","Fri Jan 06 15:41:01 UTC 2023","8062","tests","test_api_build","","","","test_recipe_builds[hoist_source_multilevel_shadow]",""
"passed","Fri Jan 06 15:59:27 UTC 2023","Fri Jan 06 16:00:00 UTC 2023","33471","tests","test_api_build","","","","test_build_with_activate_does_activate",""
"passed","Fri Jan 06 15:51:01 UTC 2023","Fri Jan 06 15:51:23 UTC 2023","22005","tests","test_api_build","","","","test_recipe_builds[unicode_all_over]",""
"passed","Fri Jan 06 15:52:04 UTC 2023","Fri Jan 06 15:52:24 UTC 2023","20234","tests","test_api_build","","","","test_recipe_builds[preserve_egg_dir]",""
"passed","Fri Jan 06 15:52:58 UTC 2023","Fri Jan 06 15:53:59 UTC 2023","61557","tests","test_api_build","","","","test_recipe_builds[numpy_run]",""
"passed","Fri Jan 06 15:47:36 UTC 2023","Fri Jan 06 15:48:12 UTC 2023","35406","tests","test_api_build","","","","test_recipe_builds[python_run]",""
"passed","Fri Jan 06 15:55:05 UTC 2023","Fri Jan 06 15:55:42 UTC 2023","36762","tests","test_api_build","","","","test_recipe_builds[entry_points]",""
"passed","Fri Jan 06 16:07:21 UTC 2023","Fri Jan 06 16:07:21 UTC 2023","8","tests","test_cli","","","","test_zstd_compression_level[1-2]",""
"passed","Fri Jan 06 16:06:57 UTC 2023","Fri Jan 06 16:07:04 UTC 2023","6842","tests","test_cli","","","","test_purge","
    purge clears out build folders - things like some_pkg_12048309850135

    It does not clear out build packages from folders like osx-64 or linux-64.
    "
"passed","Fri Jan 06 16:06:39 UTC 2023","Fri Jan 06 16:06:57 UTC 2023","17690","tests","test_cli","","","","test_build_add_channel","This recipe requires the conda_build_test_requirement package, which is
    only on the conda_build_test channel. This verifies that the -c argument
    works."
