"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 06 15:42:29 UTC 2023","Fri Jan 06 15:43:40 UTC 2023","71482","tests","test_api_build","","","","test_recipe_builds[always_include_files_glob]",""
"passed","Fri Jan 06 16:21:33 UTC 2023","Fri Jan 06 16:23:23 UTC 2023","110540","tests","test_api_build","","","","test_recipe_builds[numpy_build]",""
"passed","Fri Jan 06 16:10:32 UTC 2023","Fri Jan 06 16:10:32 UTC 2023","156","tests","test_api_build","","","","test_recipe_builds[entry_points_have_prefix_noarch_has_prefix_files]",""
"passed","Fri Jan 06 16:18:49 UTC 2023","Fri Jan 06 16:19:02 UTC 2023","12730","tests","test_api_build","","","","test_recipe_builds[jinja_vars]",""
"passed","Fri Jan 06 15:44:59 UTC 2023","Fri Jan 06 15:45:50 UTC 2023","51136","tests","test_api_build","","","","test_recipe_builds[build_env]",""
"passed","Fri Jan 06 16:16:57 UTC 2023","Fri Jan 06 16:17:58 UTC 2023","60967","tests","test_api_build","","","","test_recipe_builds[jinja_load_toml]",""
"passed","Fri Jan 06 16:36:40 UTC 2023","Fri Jan 06 16:36:50 UTC 2023","9519","tests","test_api_build","","","","test_recipe_builds[selectors_in_imported_templates]",""
"passed","Fri Jan 06 16:23:24 UTC 2023","Fri Jan 06 16:25:10 UTC 2023","106047","tests","test_api_build","","","","test_recipe_builds[numpy_build_run]",""
"passed","Fri Jan 06 15:47:32 UTC 2023","Fri Jan 06 15:47:32 UTC 2023","204","tests","test_api_build","","","","test_recipe_builds[cdt_linking]",""
"passed","Fri Jan 06 16:45:12 UTC 2023","Fri Jan 06 16:45:22 UTC 2023","10237","tests","test_api_build","","","","test_recipe_builds[symlinks]",""
"passed","Fri Jan 06 16:26:44 UTC 2023","Fri Jan 06 16:27:06 UTC 2023","22148","tests","test_api_build","","","","test_recipe_builds[patch]",""
"passed","Fri Jan 06 16:34:24 UTC 2023","Fri Jan 06 16:36:40 UTC 2023","136656","tests","test_api_build","","","","test_recipe_builds[r_test_import]",""
"passed","Fri Jan 06 15:44:04 UTC 2023","Fri Jan 06 15:44:59 UTC 2023","54464","tests","test_api_build","","","","test_recipe_builds[binary_has_prefix_files_list]",""
"passed","Fri Jan 06 16:40:03 UTC 2023","Fri Jan 06 16:40:21 UTC 2023","17255","tests","test_api_build","","","","test_recipe_builds[source_multiple]",""
"passed","Fri Jan 06 16:38:24 UTC 2023","Fri Jan 06 16:39:13 UTC 2023","49191","tests","test_api_build","","","","test_recipe_builds[source_git_am]",""
"passed","Fri Jan 06 16:10:32 UTC 2023","Fri Jan 06 16:11:44 UTC 2023","72162","tests","test_api_build","","","","test_recipe_builds[extra_freeform_metadata]",""
"passed","Fri Jan 06 16:39:13 UTC 2023","Fri Jan 06 16:40:03 UTC 2023","49995","tests","test_api_build","","","","test_recipe_builds[source_git_jinja2]",""
"passed","Fri Jan 06 16:14:14 UTC 2023","Fri Jan 06 16:14:27 UTC 2023","13084","tests","test_api_build","","","","test_recipe_builds[hoist_source_multilevel_shadow]",""
"passed","Fri Jan 06 16:11:44 UTC 2023","Fri Jan 06 16:11:57 UTC 2023","13108","tests","test_api_build","","","","test_recipe_builds[fix_permissions]",""
"passed","Fri Jan 06 16:15:28 UTC 2023","Fri Jan 06 16:16:16 UTC 2023","48097","tests","test_api_build","","","","test_recipe_builds[jinja2_build_str]",""
"passed","Fri Jan 06 16:44:45 UTC 2023","Fri Jan 06 16:45:12 UTC 2023","26494","tests","test_api_build","","","","test_recipe_builds[state_variables]",""
"passed","Fri Jan 06 16:45:22 UTC 2023","Fri Jan 06 16:45:44 UTC 2023","21956","tests","test_api_build","","","","test_recipe_builds[test_source_files]",""
"passed","Fri Jan 06 15:49:10 UTC 2023","Fri Jan 06 15:49:21 UTC 2023","10764","tests","test_api_build","","","","test_recipe_builds[empty_sections]",""
"passed","Fri Jan 06 16:36:50 UTC 2023","Fri Jan 06 16:37:35 UTC 2023","45545","tests","test_api_build","","","","test_recipe_builds[skip_compile_pyc]",""
"passed","Fri Jan 06 16:45:44 UTC 2023","Fri Jan 06 16:45:44 UTC 2023","328","tests","test_api_build","","","","test_recipe_builds[unicode_all_over]",""
"passed","Fri Jan 06 16:12:18 UTC 2023","Fri Jan 06 16:14:00 UTC 2023","102435","tests","test_api_build","","","","test_recipe_builds[has_prefix_files]",""
