"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 06 16:42:21 UTC 2023","Fri Jan 06 16:42:21 UTC 2023","15","tests","test_utils","","","","test_find_recipe",""
"failed","Fri Jan 06 16:28:08 UTC 2023","Fri Jan 06 16:28:12 UTC 2023","4042","tests","test_index","","","","test_file_index_on_single_subdir_1",""
"passed","Fri Jan 06 16:24:38 UTC 2023","Fri Jan 06 16:25:34 UTC 2023","56383","tests","test_build","","","","test_build_preserves_PATH",""
"passed","Fri Jan 06 16:42:16 UTC 2023","Fri Jan 06 16:42:16 UTC 2023","16","tests","test_utils","","","","test_expand_globs",""
"passed","Fri Jan 06 16:42:16 UTC 2023","Fri Jan 06 16:42:16 UTC 2023","0","tests","test_utils","","","","test_ensure_valid_spec",""
"skipped","Fri Jan 06 16:27:06 UTC 2023","Fri Jan 06 16:27:06 UTC 2023","0","tests","test_config","","","","test_long_build_prefix_length",""
"passed","Fri Jan 06 16:27:06 UTC 2023","Fri Jan 06 16:27:06 UTC 2023","0","tests","test_config","","","","test_set_subdir",""
"skipped","Fri Jan 06 16:30:20 UTC 2023","Fri Jan 06 16:30:20 UTC 2023","0","tests","test_post","","","","test_fix_shebang",""
"passed","Fri Jan 06 16:02:38 UTC 2023","Fri Jan 06 16:03:50 UTC 2023","72219","tests","test_api_build","","","","test_run_constrained_stores_constrains_info",""
"passed","Fri Jan 06 16:03:50 UTC 2023","Fri Jan 06 16:03:57 UTC 2023","6435","tests","test_api_build","","","","test_test_dependencies",""
"passed","Fri Jan 06 16:32:34 UTC 2023","Fri Jan 06 16:32:34 UTC 2023","58","tests","test_jinja_context","","","","test_load_setup_py_data_from_setup_cfg",""
"passed","Fri Jan 06 16:14:52 UTC 2023","Fri Jan 06 16:14:52 UTC 2023","0","tests","test_api_skeleton","","","","test_get_tests_require",""
"passed","Fri Jan 06 16:29:31 UTC 2023","Fri Jan 06 16:29:31 UTC 2023","0","tests","test_license_family","","","","test_guess_license_family[GPL-2 | file LICENSE-GPL2]","Test cases where new and deprecated functions match"
"passed","Fri Jan 06 16:27:05 UTC 2023","Fri Jan 06 16:27:05 UTC 2023","15","tests","test_cli","","","","test_long_test_prefix[additional_args0-True]",""
"passed","Fri Jan 06 16:04:46 UTC 2023","Fri Jan 06 16:06:32 UTC 2023","106706","tests","test_api_build","","","","test_setup_py_data_in_env",""
"passed","Fri Jan 06 16:22:09 UTC 2023","Fri Jan 06 16:22:27 UTC 2023","17287","tests","test_api_test","","","","test_package_test_without_recipe_in_package","Can't test packages after building if recipe is not included.  Not enough info to go on."
"passed","Fri Jan 06 16:42:16 UTC 2023","Fri Jan 06 16:42:16 UTC 2023","0","tests","test_utils","","","","test_relative_2",""
"passed","Fri Jan 06 16:34:27 UTC 2023","Fri Jan 06 16:34:27 UTC 2023","31","tests","test_source","","","","test_multiple_url_sources_into_same_folder",""
"passed","Fri Jan 06 15:58:35 UTC 2023","Fri Jan 06 15:59:07 UTC 2023","31822","tests","test_api_build","","","","test_recursion_layers","go two 'hops' - try to build a, but a needs b, so build b first, then come back to a"
"passed","Fri Jan 06 16:27:06 UTC 2023","Fri Jan 06 16:27:06 UTC 2023","0","tests","test_config","","","","test_set_platform",""
"passed","Fri Jan 06 16:16:30 UTC 2023","Fri Jan 06 16:16:38 UTC 2023","7796","tests","test_api_render","","","","test_pin_depends","This is deprecated functionality - replaced by the more general variants pinning scheme"
"passed","Fri Jan 06 16:08:16 UTC 2023","Fri Jan 06 16:08:38 UTC 2023","22088","tests","test_api_build","","","","test_version_mismatch_in_variant_does_not_infinitely_rebuild_folder",""
"passed","Fri Jan 06 16:15:48 UTC 2023","Fri Jan 06 16:15:48 UTC 2023","0","tests","test_api_inspect","","","","test_inpect_linkages",""
"passed","Fri Jan 06 15:46:35 UTC 2023","Fri Jan 06 15:47:35 UTC 2023","59788","tests","test_api_build","","","","test_disable_pip",""
"passed","Fri Jan 06 16:14:11 UTC 2023","Fri Jan 06 16:14:25 UTC 2023","14130","tests","test_api_debug","","","","test_debug_package_default_path",""
"passed","Fri Jan 06 15:47:31 UTC 2023","Fri Jan 06 15:47:48 UTC 2023","16656","tests","test_api_build","","","","test_about_license_file_and_prelink_message[license-license_file]",""
"passed","Fri Jan 06 16:27:06 UTC 2023","Fri Jan 06 16:27:06 UTC 2023","0","tests","test_cran_skeleton","","","","test_get_license_info[GPL-3-GPL-3-GPL3-license_file:
    - '{{ environ[""PREFIX""] }}/lib/R/share/licenses/GPL-3']",""
"passed","Fri Jan 06 16:30:37 UTC 2023","Fri Jan 06 16:32:09 UTC 2023","91854","tests","test_cli","","","","test_build_multiple_recipes","Test that building two recipes in one CLI call separates the build environment for each"
"passed","Fri Jan 06 16:27:06 UTC 2023","Fri Jan 06 16:27:06 UTC 2023","0","tests","test_config","","","","test_set_build_id",""
"passed","Fri Jan 06 16:32:27 UTC 2023","Fri Jan 06 16:32:34 UTC 2023","6212","tests","test_jinja_context","","","","test_resolved_packages",""
"passed","Fri Jan 06 16:26:59 UTC 2023","Fri Jan 06 16:26:59 UTC 2023","257","tests","test_cli","","","","test_render_output_build_path_and_file",""
"passed","Fri Jan 06 16:17:44 UTC 2023","Fri Jan 06 16:18:24 UTC 2023","39431","tests","test_api_skeleton","","","","test_setuptools_test_requirements",""
"passed","Fri Jan 06 16:27:05 UTC 2023","Fri Jan 06 16:27:06 UTC 2023","1221","tests","test_conda_interface","","","","test_get_installed_version",""
"passed","Fri Jan 06 16:29:31 UTC 2023","Fri Jan 06 16:29:31 UTC 2023","0","tests","test_license_family","","","","test_guess_license_family[file LICENSE (FOSS)-OTHER]","Test cases where new and deprecated functions match"
"passed","Fri Jan 06 16:42:20 UTC 2023","Fri Jan 06 16:42:21 UTC 2023","1002","tests","test_utils","","","","test_try_acquire_locks",""
"passed","Fri Jan 06 16:32:48 UTC 2023","Fri Jan 06 16:34:29 UTC 2023","101503","tests","test_subpackages","","","","test_rm_rf_does_not_remove_relative_source_package_files",""
"passed","Fri Jan 06 16:20:47 UTC 2023","Fri Jan 06 16:22:09 UTC 2023","82540","tests","test_api_test","","","","test_package_test","Test calling conda build -t <package file> - rather than <recipe dir>"
"passed","Fri Jan 06 16:42:02 UTC 2023","Fri Jan 06 16:42:16 UTC 2023","14421","tests","test_subpackages","","","","test_build_string_does_not_incorrectly_add_hash",""
"failed","Fri Jan 06 16:28:04 UTC 2023","Fri Jan 06 16:28:08 UTC 2023","4608","tests","test_index","","","","test_index_on_single_subdir_1",""
"passed","Fri Jan 06 16:14:41 UTC 2023","Fri Jan 06 16:14:41 UTC 2023","0","tests","test_api_consistency","","","","test_api_output_yaml",""
"broken","Fri Jan 06 16:23:16 UTC 2023","Fri Jan 06 16:23:23 UTC 2023","7305","tests","test_cli","","","","test_build_skip_existing",""
"passed","Fri Jan 06 15:47:35 UTC 2023","Fri Jan 06 15:47:35 UTC 2023","15","tests","test_api_build","","","","test_noarch_none_value",""
"passed","Fri Jan 06 16:18:47 UTC 2023","Fri Jan 06 16:18:52 UTC 2023","4846","tests","test_api_skeleton_cran","","","","test_cran_no_comments",""
"passed","Fri Jan 06 16:18:39 UTC 2023","Fri Jan 06 16:18:44 UTC 2023","4074","tests","test_api_skeleton_cran","","","","test_cran_os_type[bigReg-skip: True  # [not unix]]",""
"passed","Fri Jan 06 16:18:42 UTC 2023","Fri Jan 06 16:18:47 UTC 2023","4920","tests","test_api_skeleton","","","","test_repo[-rpm-libX11-devel-]",""
"passed","Fri Jan 06 16:33:16 UTC 2023","Fri Jan 06 16:33:26 UTC 2023","10595","tests","test_published_examples","","","","test_recipe_builds[building_jinja2_environ]",""
"passed","Fri Jan 06 16:42:21 UTC 2023","Fri Jan 06 16:42:21 UTC 2023","0","tests","test_utils","","","","test_find_recipe_relative",""
"passed","Fri Jan 06 16:14:03 UTC 2023","Fri Jan 06 16:14:07 UTC 2023","3541","tests","test_api_convert","","","","test_renaming_executables[package0-linux]","Test that the files in /bin are properly renamed.

    When converting the bin/ directory to Scripts/, only scripts
    need to be changed. Sometimes the /bin directory contains other
    files that are not Python scripts such as post-link.sh scripts.
    This test converts a packaege that contains a post-link.sh script
    in the bin/ directory and checks to see that its filename remains
    the same.
    "
"passed","Fri Jan 06 16:34:27 UTC 2023","Fri Jan 06 16:34:27 UTC 2023","0","tests","test_pypi_skeleton","","","","test_formating_value",""
"passed","Fri Jan 06 16:29:02 UTC 2023","Fri Jan 06 16:29:23 UTC 2023","20757","tests","test_index","","","","test_current_index_version_keys_keep_older_packages",""
"passed","Fri Jan 06 16:27:07 UTC 2023","Fri Jan 06 16:27:07 UTC 2023","0","tests","test_create_test","","","","test_non_py_does_not_create_py_files",""
"passed","Fri Jan 06 15:44:32 UTC 2023","Fri Jan 06 15:45:21 UTC 2023","48715","tests","test_api_build","","","","test_cmake_generator[3.10-32]",""
"passed","Fri Jan 06 16:32:34 UTC 2023","Fri Jan 06 16:32:34 UTC 2023","0","tests","test_jinja_context","","","","test_load_file_data[file.toml-None-[tbl]
a = 1-expected2]",""
"passed","Fri Jan 06 16:26:25 UTC 2023","Fri Jan 06 16:26:32 UTC 2023","7105","tests","test_cli","","","","test_render_without_channel_fails",""
"passed","Fri Jan 06 16:11:34 UTC 2023","Fri Jan 06 16:12:03 UTC 2023","28349","tests","test_api_build","","","","test_script_env_warnings",""
"passed","Fri Jan 06 16:14:41 UTC 2023","Fri Jan 06 16:14:41 UTC 2023","63","tests","test_api_convert","","","","test_no_platform[package0-win]",""
"passed","Fri Jan 06 16:29:31 UTC 2023","Fri Jan 06 16:29:31 UTC 2023","0","tests","test_license_family","","","","test_guess_license_family[zlib (http://zlib.net/zlib_license.html)-OTHER]","Test cases where new and deprecated functions match"
"passed","Fri Jan 06 16:23:15 UTC 2023","Fri Jan 06 16:23:16 UTC 2023","816","tests","test_cli","","","","test_convert",""
"passed","Fri Jan 06 16:34:53 UTC 2023","Fri Jan 06 16:35:38 UTC 2023","45592","tests","test_subpackages","","","","test_python_line_up_with_compiled_lib[_line_up_python_compiled_libs]",""
"passed","Fri Jan 06 16:13:59 UTC 2023","Fri Jan 06 16:13:59 UTC 2023","422","tests","test_api_convert","","","","test_convert_dependencies[package0-linux]",""
"passed","Fri Jan 06 16:27:06 UTC 2023","Fri Jan 06 16:27:06 UTC 2023","0","tests","test_cran_skeleton","","","","test_get_license_info[Artistic License 2.0-Artistic-2.0-OTHER-license_file:
    - '{{ environ[""PREFIX""] }}/lib/R/share/licenses/Artistic-2.0']",""
"passed","Fri Jan 06 16:15:28 UTC 2023","Fri Jan 06 16:16:16 UTC 2023","47789","tests","test_api_skeleton","","","","test_pypi_pin_numpy",""
"passed","Fri Jan 06 16:30:19 UTC 2023","Fri Jan 06 16:30:19 UTC 2023","0","tests","test_misc","","","","test_pathtype",""
"passed","Fri Jan 06 16:32:34 UTC 2023","Fri Jan 06 16:32:36 UTC 2023","1611","tests","test_source","","","","test_multiple_different_sources",""
"passed","Fri Jan 06 16:21:33 UTC 2023","Fri Jan 06 16:21:41 UTC 2023","8121","tests","test_cli","","","","test_metapackage","the metapackage command creates a package with runtime dependencies specified on the CLI"
"passed","Fri Jan 06 15:59:10 UTC 2023","Fri Jan 06 16:02:38 UTC 2023","208599","tests","test_api_build","","","","test_only_perl_env_vars_defined",""
"passed","Fri Jan 06 16:25:34 UTC 2023","Fri Jan 06 16:25:34 UTC 2023","15","tests","test_build","","","","test_create_info_files_json_symlinks",""
"passed","Fri Jan 06 16:14:01 UTC 2023","Fri Jan 06 16:14:03 UTC 2023","1112","tests","test_api_convert","","","","test_convert_no_dependencies[package0-win]",""
"passed","Fri Jan 06 16:12:11 UTC 2023","Fri Jan 06 16:14:18 UTC 2023","126842","tests","test_api_build_conda_v2","","","","test_conda_pkg_format[None-.tar.bz2]","Conda package format ""2"" builds .conda packages."
"skipped","Fri Jan 06 16:03:54 UTC 2023","Fri Jan 06 16:03:54 UTC 2023","0","tests","test_api_build","","","","test_only_lua_env",""
"passed","Fri Jan 06 16:26:59 UTC 2023","Fri Jan 06 16:27:00 UTC 2023","297","tests","test_cli","","","","test_build_output_build_path_multiple_recipes",""
"passed","Fri Jan 06 16:14:03 UTC 2023","Fri Jan 06 16:14:03 UTC 2023","375","tests","test_api_convert","","","","test_convert_no_dependencies[package0-osx]",""
"passed","Fri Jan 06 16:32:34 UTC 2023","Fri Jan 06 16:32:34 UTC 2023","0","tests","test_jinja_context","","","","test_load_file_data[toml_file-toml-[tbl]
a = 1-expected3]",""
"passed","Fri Jan 06 16:13:43 UTC 2023","Fri Jan 06 16:13:43 UTC 2023","78","tests","test_api_convert","","","","test_no_platform[package0-osx]",""
"passed","Fri Jan 06 16:29:31 UTC 2023","Fri Jan 06 16:29:31 UTC 2023","0","tests","test_license_family","","","","test_guess_license_family[GPL-3-GPL3]","Test cases where new and deprecated functions match"
"passed","Fri Jan 06 16:08:38 UTC 2023","Fri Jan 06 16:09:34 UTC 2023","56048","tests","test_api_build","","","","test_overlinking_detection",""
"skipped","Fri Jan 06 15:47:13 UTC 2023","Fri Jan 06 15:47:13 UTC 2023","0","tests","test_api_build","","","","test_rpath_unix",""
"passed","Fri Jan 06 16:36:42 UTC 2023","Fri Jan 06 16:41:34 UTC 2023","291846","tests","test_subpackages","","","","test_activation_in_output_scripts",""
"passed","Fri Jan 06 16:13:42 UTC 2023","Fri Jan 06 16:13:43 UTC 2023","426","tests","test_api_convert","","","","test_show_imports[package0-osx]",""
"passed","Fri Jan 06 16:27:06 UTC 2023","Fri Jan 06 16:27:06 UTC 2023","0","tests","test_create_test","","","","test_create_py_files_with_py_imports",""
"passed","Fri Jan 06 16:32:42 UTC 2023","Fri Jan 06 16:32:42 UTC 2023","15","tests","test_source","","","","test_hoist_different_name",""
"passed","Fri Jan 06 16:29:31 UTC 2023","Fri Jan 06 16:29:31 UTC 2023","0","tests","test_license_family","","","","test_guess_license_family[GPL-2 | GPL-3-GPL3]","Test cases where new and deprecated functions match"
"passed","Fri Jan 06 16:32:27 UTC 2023","Fri Jan 06 16:32:27 UTC 2023","0","tests","test_jinja_context","","","","test_pin_subpackage_expression",""
"passed","Fri Jan 06 16:25:39 UTC 2023","Fri Jan 06 16:25:48 UTC 2023","8361","tests","test_cli","","","","test_relative_path_test_artifact",""
