Cloning into bare repository '/Users/runner/work/_temp/parallel/popen-gw2/test_recipe_builds_building_ji2/git_cache/Users/runner/work/conda-build/conda_build_test_recipe'...
done.
Cloning into '/Users/runner/work/_temp/parallel/popen-gw2/test_recipe_builds_building_ji2/mypkg_1673047725098/work'...
done.
2023-01-06T23:28:53 Subdir: noarch Gathering repodata
2023-01-06T23:28:53 noarch Writing pre-patch repodata
2023-01-06T23:28:53 noarch Applying patch instructions
2023-01-06T23:28:53 noarch Writing patched repodata
2023-01-06T23:28:53 noarch Building current_repodata subset
2023-01-06T23:28:53 Subdir: osx-64 Gathering repodata
2023-01-06T23:28:53 osx-64 Writing pre-patch repodata
2023-01-06T23:28:53 osx-64 Applying patch instructions
2023-01-06T23:28:53 osx-64 Writing patched repodata
2023-01-06T23:28:53 osx-64 Building current_repodata subset
2023-01-06T23:28:54 noarch Writing current_repodata subset
2023-01-06T23:28:54 noarch Writing index HTML
2023-01-06T23:28:54 osx-64 Writing current_repodata subset
2023-01-06T23:28:54 osx-64 Writing index HTML
2023-01-06T23:29:02 Subdir: noarch Gathering repodata
2023-01-06T23:29:02 noarch Writing pre-patch repodata
2023-01-06T23:29:02 noarch Applying patch instructions
2023-01-06T23:29:02 noarch Writing patched repodata
2023-01-06T23:29:02 noarch Building current_repodata subset
2023-01-06T23:29:02 Subdir: osx-64 Gathering repodata
2023-01-06T23:29:02 osx-64 Writing pre-patch repodata
2023-01-06T23:29:02 osx-64 Applying patch instructions
2023-01-06T23:29:02 osx-64 Writing patched repodata
2023-01-06T23:29:02 osx-64 Building current_repodata subset
2023-01-06T23:29:02 noarch Writing current_repodata subset
2023-01-06T23:29:02 noarch Writing index HTML
2023-01-06T23:29:02 osx-64 Writing current_repodata subset
2023-01-06T23:29:02 osx-64 Writing index HTML
