"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 06 23:38:25 UTC 2023","Fri Jan 06 23:38:25 UTC 2023","1","tests","test_license_family","","","","test_guess_license_family[GNU General Public License some stuff then a 3 then stuff-GPL3]","Test cases where new and deprecated functions match"
"passed","Fri Jan 06 22:56:54 UTC 2023","Fri Jan 06 22:57:03 UTC 2023","9246","tests","test_api_build","","","","test_failed_patch_exits_build",""
"skipped","Fri Jan 06 23:04:49 UTC 2023","Fri Jan 06 23:04:49 UTC 2023","0","tests","test_api_render","","","","test_run_exports_from_repo_without_channeldata",""
"passed","Fri Jan 06 23:41:23 UTC 2023","Fri Jan 06 23:41:23 UTC 2023","1","tests","test_pypi_skeleton","","","","test_print_dict",""
"passed","Fri Jan 06 22:57:28 UTC 2023","Fri Jan 06 22:57:28 UTC 2023","0","tests","test_api_consistency","","","","test_api_inspect_objects",""
"skipped","Fri Jan 06 23:30:54 UTC 2023","Fri Jan 06 23:30:54 UTC 2023","0","tests","test_misc","","","","test_crossplatform_st_link_on_win",""
"passed","Fri Jan 06 23:29:41 UTC 2023","Fri Jan 06 23:29:41 UTC 2023","1","tests","test_license_family","","","","test_guess_license_family[file LICENSE (FOSS)-OTHER]","Test cases where new and deprecated functions match"
"passed","Fri Jan 06 23:27:44 UTC 2023","Fri Jan 06 23:27:44 UTC 2023","1","tests","test_create_test","","","","test_create_r_files_lang_spec",""
"passed","Fri Jan 06 23:53:17 UTC 2023","Fri Jan 06 23:53:17 UTC 2023","7","tests","test_utils","","","","test_find_recipe",""
"passed","Fri Jan 06 23:39:46 UTC 2023","Fri Jan 06 23:41:29 UTC 2023","102586","tests","test_subpackages","","","","test_subpackage_recipes[script_install_files]",""
"passed","Sat Jan 07 00:01:05 UTC 2023","Sat Jan 07 00:01:57 UTC 2023","52203","tests","test_variants","","","","test_serial_builds_have_independent_configs",""
"passed","Fri Jan 06 23:31:19 UTC 2023","Fri Jan 06 23:31:19 UTC 2023","1","tests","test_render","","","","test_reduce_duplicate_specs",""
"passed","Fri Jan 06 23:09:34 UTC 2023","Fri Jan 06 23:09:34 UTC 2023","1","tests","test_api_skeleton","","","","test_get_entry_points",""
"passed","Fri Jan 06 23:03:58 UTC 2023","Fri Jan 06 23:03:58 UTC 2023","117","tests","test_api_convert","","","","test_no_imports_found[package0-win]",""
"passed","Sat Jan 07 00:00:58 UTC 2023","Sat Jan 07 00:00:58 UTC 2023","1","tests","test_variants","","","","test_zip_fields","Zipping keys together allows people to tie different versions as sets of combinations."
"passed","Sat Jan 07 00:03:13 UTC 2023","Sat Jan 07 00:03:25 UTC 2023","12281","tests","test_variants","","","","test_target_platform_looping",""
"passed","Fri Jan 06 23:03:57 UTC 2023","Fri Jan 06 23:03:57 UTC 2023","0","tests","test_api_consistency","","","","test_api_build",""
"passed","Sat Jan 07 00:04:55 UTC 2023","Sat Jan 07 00:05:03 UTC 2023","7681","tests","test_variants","","","","test_exclusive_config_file",""
"passed","Fri Jan 06 23:04:19 UTC 2023","Fri Jan 06 23:04:20 UTC 2023","1266","tests","test_api_convert","","","","test_convert_dependencies[package0-linux]",""
"passed","Fri Jan 06 23:27:43 UTC 2023","Fri Jan 06 23:27:43 UTC 2023","2","tests","test_config","","","","test_create_config_with_subdir",""
"passed","Fri Jan 06 23:30:53 UTC 2023","Fri Jan 06 23:30:54 UTC 2023","78","tests","test_metadata","","","","test_hash_build_id_key_order",""
"passed","Fri Jan 06 23:38:25 UTC 2023","Fri Jan 06 23:38:25 UTC 2023","0","tests","test_license_family","","","","test_guess_license_family[GPL (>= 2)-GPL3]","Test cases where new and deprecated functions match"
"passed","Fri Jan 06 23:38:42 UTC 2023","Fri Jan 06 23:39:37 UTC 2023","55350","tests","test_subpackages","","","","test_about_metadata",""
"passed","Sat Jan 07 00:06:25 UTC 2023","Sat Jan 07 00:06:51 UTC 2023","26404","tests","test_variants","","","","test_variant_as_dependency_name",""
"passed","Fri Jan 06 23:29:41 UTC 2023","Fri Jan 06 23:29:41 UTC 2023","1","tests","test_license_family","","","","test_guess_license_family[BSL-1.0-OTHER]","Test cases where new and deprecated functions match"
"passed","Fri Jan 06 22:33:16 UTC 2023","Fri Jan 06 22:33:34 UTC 2023","18056","tests","test_api_build","","","","test_fix_permissions",""
"passed","Fri Jan 06 22:59:00 UTC 2023","Fri Jan 06 22:59:25 UTC 2023","24114","tests","test_api_debug","","","","test_specific_output",""
"passed","Fri Jan 06 22:49:54 UTC 2023","Fri Jan 06 22:52:13 UTC 2023","139016","tests","test_api_build","","","","test_overdepending_detection",""
"passed","Fri Jan 06 23:30:55 UTC 2023","Fri Jan 06 23:30:55 UTC 2023","201","tests","test_patch","","","","test_crlf_source_crlf_patch",""
"passed","Fri Jan 06 23:31:19 UTC 2023","Fri Jan 06 23:31:19 UTC 2023","11","tests","test_render","","","","test_output_with_noarch_python_says_noarch",""
"passed","Fri Jan 06 23:30:54 UTC 2023","Fri Jan 06 23:30:54 UTC 2023","224","tests","test_patch","","","","test_patch_paths",""
"passed","Fri Jan 06 22:45:33 UTC 2023","Fri Jan 06 22:47:28 UTC 2023","114682","tests","test_api_build","","","","test_version_mismatch_in_variant_does_not_infinitely_rebuild_folder",""
"passed","Fri Jan 06 23:29:41 UTC 2023","Fri Jan 06 23:29:41 UTC 2023","0","tests","test_license_family","","","","test_guess_license_family[MIT + file LICENSE-MIT]","Test cases where new and deprecated functions match"
"passed","Fri Jan 06 23:27:43 UTC 2023","Fri Jan 06 23:27:43 UTC 2023","1","tests","test_cran_skeleton","","","","test_get_license_info[GPL-3-GPL-3-GPL3-license_file:
    - '{{ environ[""PREFIX""] }}/lib/R/share/licenses/GPL-3']",""
"passed","Fri Jan 06 23:16:56 UTC 2023","Fri Jan 06 23:17:26 UTC 2023","30003","tests","test_cli","","","","test_metapackage_build_number","the metapackage command creates a package with runtime dependencies specified on the CLI"
"passed","Fri Jan 06 22:22:16 UTC 2023","Fri Jan 06 22:22:58 UTC 2023","41891","tests","test_api_build","","","","test_git_describe_info_on_branch",""
"passed","Sat Jan 07 00:00:32 UTC 2023","Sat Jan 07 00:00:58 UTC 2023","25542","tests","test_variants","","","","test_no_satisfiable_variants_raises_error",""
"passed","Fri Jan 06 23:16:08 UTC 2023","Fri Jan 06 23:16:31 UTC 2023","23169","tests","test_api_skeleton","","","","test_pypi_with_entry_points",""
"skipped","Fri Jan 06 22:34:50 UTC 2023","Fri Jan 06 22:34:50 UTC 2023","0","tests","test_api_build","","","","test_run_exports_noarch_python",""
"passed","Fri Jan 06 22:34:50 UTC 2023","Fri Jan 06 22:36:29 UTC 2023","99389","tests","test_api_build","","","","test_recursion_packages","Two packages that need to be built are listed in the recipe

    make sure that both get built before the one needing them gets built."
"passed","Fri Jan 06 23:41:23 UTC 2023","Fri Jan 06 23:41:23 UTC 2023","0","tests","test_pypi_skeleton","","","","test_formating_value",""
"passed","Fri Jan 06 23:38:26 UTC 2023","Fri Jan 06 23:38:26 UTC 2023","1","tests","test_license_family","","","","test_guess_license_family[LGPL-2.1-LGPL]","Test cases where new and deprecated functions match"
"passed","Fri Jan 06 23:29:18 UTC 2023","Fri Jan 06 23:31:19 UTC 2023","121050","tests","test_cli","","","","test_test_extra_dep",""
"passed","Fri Jan 06 23:52:08 UTC 2023","Fri Jan 06 23:53:10 UTC 2023","62278","tests","test_subpackages","","","","test_build_string_does_not_incorrectly_add_hash",""
