"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 06 21:08:11 UTC 2023","Fri Jan 06 21:08:13 UTC 2023","1448","tests","test_cli","","","","test_render_with_python_arg_CLI_reduces_subspace",""
"passed","Fri Jan 06 20:57:59 UTC 2023","Fri Jan 06 20:57:59 UTC 2023","0","tests","test_api_consistency","","","","test_api_convert",""
"passed","Fri Jan 06 21:08:42 UTC 2023","Fri Jan 06 21:08:42 UTC 2023","1","tests","test_cran_skeleton","","","","test_get_license_info[GPL-2 | GPL-3-GPL-2 | GPL-3-GPL3-license_file:
    - '{{ environ[""PREFIX""] }}/lib/R/share/licenses/GPL-2'
    - '{{ environ[""PREFIX""] }}/lib/R/share/licenses/GPL-3']",""
"passed","Fri Jan 06 21:11:07 UTC 2023","Fri Jan 06 21:11:07 UTC 2023","0","tests","test_pypi_skeleton","","","","test_print_dict",""
"passed","Fri Jan 06 20:48:11 UTC 2023","Fri Jan 06 20:48:21 UTC 2023","10534","tests","test_api_build","","","","test_ignore_run_exports_from",""
"passed","Fri Jan 06 21:23:12 UTC 2023","Fri Jan 06 21:23:12 UTC 2023","0","tests","test_utils","","","","test_ensure_valid_spec",""
"passed","Fri Jan 06 21:09:18 UTC 2023","Fri Jan 06 21:09:18 UTC 2023","0","tests","test_misc","","","","test_entity_encoder",""
"passed","Fri Jan 06 20:55:22 UTC 2023","Fri Jan 06 20:55:22 UTC 2023","0","tests","test_api_consistency","","","","test_api_create_metapackage",""
"passed","Fri Jan 06 21:03:03 UTC 2023","Fri Jan 06 21:03:13 UTC 2023","10465","tests","test_api_skeleton","","","","test_pypi_section_order_preserved","
    Test whether sections have been written in the correct order.
    "
"passed","Fri Jan 06 20:46:31 UTC 2023","Fri Jan 06 20:46:52 UTC 2023","21174","tests","test_api_build","","","","test_skip_compile_pyc",""
"passed","Fri Jan 06 21:11:09 UTC 2023","Fri Jan 06 21:11:31 UTC 2023","21931","tests","test_subpackages","","","","test_subpackage_recipes[copying_files]",""
"passed","Fri Jan 06 20:58:30 UTC 2023","Fri Jan 06 20:58:54 UTC 2023","23903","tests","test_api_render","","","","test_host_entries_finalized",""
