"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 06 20:52:45 UTC 2023","Fri Jan 06 20:52:50 UTC 2023","4427","tests","test_api_build","","","","test_recipe_builds[hoist_source_multilevel_shadow]",""
"passed","Fri Jan 06 21:02:01 UTC 2023","Fri Jan 06 21:02:55 UTC 2023","53871","tests","test_api_build","","","","test_recipe_builds[numpy_run]",""
"passed","Fri Jan 06 20:45:49 UTC 2023","Fri Jan 06 20:46:57 UTC 2023","67444","tests","test_api_build","","","","test_recipe_builds[always_include_files_glob]",""
"passed","Fri Jan 06 21:01:33 UTC 2023","Fri Jan 06 21:02:01 UTC 2023","27917","tests","test_api_build","","","","test_recipe_builds[jinja_load_toml]",""
"passed","Fri Jan 06 20:53:33 UTC 2023","Fri Jan 06 20:53:52 UTC 2023","19226","tests","test_api_build","","","","test_recipe_builds[build_number]",""
"passed","Fri Jan 06 20:59:20 UTC 2023","Fri Jan 06 20:59:25 UTC 2023","4412","tests","test_api_build","","","","test_recipe_builds[source_path]",""
"passed","Fri Jan 06 20:56:07 UTC 2023","Fri Jan 06 20:57:16 UTC 2023","69644","tests","test_api_build","","","","test_recipe_builds[cdt_linking]",""
"passed","Fri Jan 06 20:45:18 UTC 2023","Fri Jan 06 20:45:20 UTC 2023","2375","tests","test_api_build","","","","test_recipe_builds[multiple_sources]",""
"passed","Fri Jan 06 20:48:36 UTC 2023","Fri Jan 06 20:49:28 UTC 2023","51525","tests","test_api_build","","","","test_recipe_builds[entry_points_have_prefix]",""
"passed","Fri Jan 06 21:07:24 UTC 2023","Fri Jan 06 21:12:05 UTC 2023","280987","tests","test_api_build","","","","test_numpy_setup_py_data",""
"passed","Fri Jan 06 20:55:26 UTC 2023","Fri Jan 06 20:55:38 UTC 2023","11518","tests","test_api_build","","","","test_recipe_builds[arbitrary_file_in_info_dir]",""
"passed","Fri Jan 06 21:06:37 UTC 2023","Fri Jan 06 21:06:57 UTC 2023","19733","tests","test_api_build","","","","test_build_with_no_activate_does_not_activate",""
"passed","Fri Jan 06 21:13:34 UTC 2023","Fri Jan 06 21:13:34 UTC 2023","6","tests","test_cli","","","","test_zstd_compression_level[None-None]",""
"passed","Fri Jan 06 20:44:47 UTC 2023","Fri Jan 06 20:44:47 UTC 2023","145","tests","test_api_build","","","","test_recipe_builds[build_skip]",""
"passed","Fri Jan 06 20:53:54 UTC 2023","Fri Jan 06 20:54:40 UTC 2023","45296","tests","test_api_build","","","","test_recipe_builds[numpy_build]",""
"passed","Fri Jan 06 21:00:45 UTC 2023","Fri Jan 06 21:01:01 UTC 2023","15824","tests","test_api_build","","","","test_recipe_builds[jinja2_build_str]",""
"passed","Fri Jan 06 21:05:25 UTC 2023","Fri Jan 06 21:05:46 UTC 2023","21309","tests","test_api_build","","","","test_recipe_builds[no_link]",""
"passed","Fri Jan 06 21:13:27 UTC 2023","Fri Jan 06 21:13:29 UTC 2023","2278","tests","test_cli","","","","test_purge_all","
    purge-all clears out build folders as well as build packages in the osx-64 folders and such
    "
"passed","Fri Jan 06 20:55:47 UTC 2023","Fri Jan 06 20:56:07 UTC 2023","19378","tests","test_api_build","","","","test_recipe_builds[build_string]",""
"passed","Fri Jan 06 20:45:20 UTC 2023","Fri Jan 06 20:45:33 UTC 2023","12368","tests","test_api_build","","","","test_recipe_builds[libarchive]",""
"passed","Fri Jan 06 20:52:24 UTC 2023","Fri Jan 06 20:52:41 UTC 2023","16402","tests","test_api_build","","","","test_recipe_builds[source_git_am]",""
"passed","Fri Jan 06 21:01:01 UTC 2023","Fri Jan 06 21:01:17 UTC 2023","16135","tests","test_api_build","","","","test_recipe_builds[skip_compile_pyc]",""
"passed","Fri Jan 06 21:13:25 UTC 2023","Fri Jan 06 21:13:27 UTC 2023","2235","tests","test_cli","","","","test_purge","
    purge clears out build folders - things like some_pkg_12048309850135

    It does not clear out build packages from folders like osx-64 or linux-64.
    "
"passed","Fri Jan 06 21:05:46 UTC 2023","Fri Jan 06 21:05:58 UTC 2023","11455","tests","test_api_build","","","","test_recipe_builds[state_variables]",""
"skipped","Fri Jan 06 21:05:58 UTC 2023","Fri Jan 06 21:05:58 UTC 2023","0","tests","test_api_build","","","","test_ignore_some_prefix_files",""
"passed","Fri Jan 06 20:57:16 UTC 2023","Fri Jan 06 20:57:26 UTC 2023","9636","tests","test_api_build","","","","test_recipe_builds[test_source_files]",""
"passed","Fri Jan 06 21:03:41 UTC 2023","Fri Jan 06 21:03:46 UTC 2023","4357","tests","test_api_build","","","","test_recipe_builds[empty_with_build_script]",""
"passed","Fri Jan 06 20:49:50 UTC 2023","Fri Jan 06 20:50:24 UTC 2023","33754","tests","test_api_build","","","","test_recipe_builds[python_build_run]",""
"passed","Fri Jan 06 21:13:34 UTC 2023","Fri Jan 06 21:13:45 UTC 2023","11677","tests","test_metadata","","","","test_build_bootstrap_env_by_name",""
"passed","Fri Jan 06 21:06:00 UTC 2023","Fri Jan 06 21:06:03 UTC 2023","2201","tests","test_api_build","","","","test_no_anaconda_upload_condarc[binstar]",""
"passed","Fri Jan 06 21:04:25 UTC 2023","Fri Jan 06 21:04:41 UTC 2023","16564","tests","test_api_build","","","","test_recipe_builds[source_url]",""
"passed","Fri Jan 06 21:00:29 UTC 2023","Fri Jan 06 21:00:45 UTC 2023","15853","tests","test_api_build","","","","test_recipe_builds[unicode_all_over]",""
"passed","Fri Jan 06 21:13:13 UTC 2023","Fri Jan 06 21:13:25 UTC 2023","11639","tests","test_cli","","","","test_build_add_channel","This recipe requires the conda_build_test_requirement package, which is
    only on the conda_build_test channel. This verifies that the -c argument
    works."
"passed","Fri Jan 06 21:01:17 UTC 2023","Fri Jan 06 21:01:33 UTC 2023","15913","tests","test_api_build","","","","test_recipe_builds[preserve_egg_dir]",""
"passed","Fri Jan 06 20:58:45 UTC 2023","Fri Jan 06 20:59:20 UTC 2023","34974","tests","test_api_build","","","","test_recipe_builds[python_build]",""
"passed","Fri Jan 06 21:06:08 UTC 2023","Fri Jan 06 21:06:10 UTC 2023","2685","tests","test_api_build","","","","test_offline[anaconda]",""
"passed","Fri Jan 06 20:46:57 UTC 2023","Fri Jan 06 20:47:18 UTC 2023","21527","tests","test_api_build","","","","test_recipe_builds[relative_url_download]",""
"passed","Fri Jan 06 21:06:10 UTC 2023","Fri Jan 06 21:06:37 UTC 2023","27089","tests","test_api_build","","","","test_early_abort","There have been some problems with conda-build dropping out early.
    Make sure we aren't causing them"
"passed","Fri Jan 06 20:44:07 UTC 2023","Fri Jan 06 20:44:42 UTC 2023","35056","tests","test_api_build","","","","test_recipe_builds[patch-read-only]",""
"passed","Fri Jan 06 21:06:57 UTC 2023","Fri Jan 06 21:07:24 UTC 2023","26632","tests","test_api_build","","","","test_build_with_activate_does_activate",""
"passed","Fri Jan 06 21:02:55 UTC 2023","Fri Jan 06 21:03:24 UTC 2023","29264","tests","test_api_build","","","","test_recipe_builds[ds_store_ignored]",""
"passed","Fri Jan 06 20:58:18 UTC 2023","Fri Jan 06 20:58:45 UTC 2023","26852","tests","test_api_build","","","","test_recipe_builds[python_env_defined]",""
"passed","Fri Jan 06 20:59:25 UTC 2023","Fri Jan 06 20:59:54 UTC 2023","29200","tests","test_api_build","","","","test_recipe_builds[jinja2]",""
"passed","Fri Jan 06 21:03:24 UTC 2023","Fri Jan 06 21:03:41 UTC 2023","17599","tests","test_api_build","","","","test_recipe_builds[source_git_jinja2]",""
"passed","Fri Jan 06 20:47:59 UTC 2023","Fri Jan 06 20:48:24 UTC 2023","25819","tests","test_api_build","","","","test_recipe_builds[extra_freeform_metadata]",""
"passed","Fri Jan 06 20:45:33 UTC 2023","Fri Jan 06 20:45:49 UTC 2023","16509","tests","test_api_build","","","","test_recipe_builds[source_git]",""
"passed","Fri Jan 06 20:57:26 UTC 2023","Fri Jan 06 20:57:28 UTC 2023","2238","tests","test_api_build","","","","test_recipe_builds[noarch_generic]",""
"passed","Fri Jan 06 20:51:03 UTC 2023","Fri Jan 06 20:51:19 UTC 2023","16611","tests","test_api_build","","","","test_recipe_builds[wheel_source]",""
"passed","Fri Jan 06 21:13:29 UTC 2023","Fri Jan 06 21:13:34 UTC 2023","4208","tests","test_cli","","","","test_no_force_upload",""
"passed","Fri Jan 06 20:50:43 UTC 2023","Fri Jan 06 20:51:03 UTC 2023","19666","tests","test_api_build","","","","test_recipe_builds[nested_recipe]",""
"passed","Fri Jan 06 20:44:47 UTC 2023","Fri Jan 06 20:45:18 UTC 2023","31046","tests","test_api_build","","","","test_recipe_builds[binary_has_prefix_files_list]",""
"passed","Fri Jan 06 20:54:40 UTC 2023","Fri Jan 06 20:54:56 UTC 2023","15988","tests","test_api_build","","","","test_recipe_builds[source_regex_from_recipe_dir]",""
"passed","Fri Jan 06 20:59:54 UTC 2023","Fri Jan 06 21:00:25 UTC 2023","30849","tests","test_api_build","","","","test_recipe_builds[unicode_in_meta]",""
"passed","Fri Jan 06 20:53:52 UTC 2023","Fri Jan 06 20:53:54 UTC 2023","2281","tests","test_api_build","","","","test_recipe_builds[unknown_selector]",""
"passed","Fri Jan 06 20:50:24 UTC 2023","Fri Jan 06 20:50:43 UTC 2023","19079","tests","test_api_build","","","","test_recipe_builds[build_env]",""
"passed","Fri Jan 06 21:13:34 UTC 2023","Fri Jan 06 21:13:34 UTC 2023","7","tests","test_cli","","","","test_zstd_compression_level[1-2]",""
"skipped","Fri Jan 06 20:50:24 UTC 2023","Fri Jan 06 20:50:24 UTC 2023","1","tests","test_api_build","","","","test_recipe_builds[source_setup_py_data_subdir]",""
"passed","Fri Jan 06 21:13:45 UTC 2023","Fri Jan 06 21:13:45 UTC 2023","1","tests","test_utils","","","","test_logger_filtering",""
"passed","Fri Jan 06 20:51:26 UTC 2023","Fri Jan 06 20:51:42 UTC 2023","15992","tests","test_api_build","","","","test_recipe_builds[source_regex]",""
"passed","Fri Jan 06 21:12:31 UTC 2023","Fri Jan 06 21:13:13 UTC 2023","42447","tests","test_api_build_go_package","","","","test_recipe_build",""
"passed","Fri Jan 06 21:13:45 UTC 2023","Fri Jan 06 21:13:51 UTC 2023","5388","tests","test_variants","","","","test_ensure_valid_spec_on_run_and_test",""
"passed","Fri Jan 06 20:51:22 UTC 2023","Fri Jan 06 20:51:26 UTC 2023","4302","tests","test_api_build","","","","test_recipe_builds[fix_permissions]",""
"passed","Fri Jan 06 20:52:22 UTC 2023","Fri Jan 06 20:52:24 UTC 2023","2350","tests","test_api_build","","","","test_recipe_builds[empty_sections]",""
"passed","Fri Jan 06 21:13:34 UTC 2023","Fri Jan 06 21:13:34 UTC 2023","10","tests","test_cli","","","","test_zstd_compression_level[1-None]",""
"skipped","Fri Jan 06 21:05:58 UTC 2023","Fri Jan 06 21:06:00 UTC 2023","2601","tests","test_api_build","","","","test_token_upload",""
"skipped","Fri Jan 06 21:05:58 UTC 2023","Fri Jan 06 21:05:58 UTC 2023","0","tests","test_api_build","","","","test_ignore_prefix_files",""
"passed","Fri Jan 06 20:51:42 UTC 2023","Fri Jan 06 20:52:18 UTC 2023","35549","tests","test_api_build","","","","test_recipe_builds[r_test_import]",""
"passed","Fri Jan 06 20:52:18 UTC 2023","Fri Jan 06 20:52:22 UTC 2023","4256","tests","test_api_build","","","","test_recipe_builds[nested_prefix]",""
"skipped","Fri Jan 06 21:12:05 UTC 2023","Fri Jan 06 21:12:05 UTC 2023","4","tests","test_api_build","","","","test_copy_read_only_file_with_xattr",""
"passed","Fri Jan 06 20:47:18 UTC 2023","Fri Jan 06 20:47:59 UTC 2023","40314","tests","test_api_build","","","","test_recipe_builds[has_prefix_files]",""
"passed","Fri Jan 06 21:04:15 UTC 2023","Fri Jan 06 21:04:25 UTC 2023","9843","tests","test_api_build","","","","test_recipe_builds[float_misinterpretation]",""
"passed","Fri Jan 06 20:54:56 UTC 2023","Fri Jan 06 20:55:00 UTC 2023","4433","tests","test_api_build","","","","test_recipe_builds[hoist_source_multilevel]",""
"passed","Fri Jan 06 21:03:46 UTC 2023","Fri Jan 06 21:04:15 UTC 2023","29192","tests","test_api_build","","","","test_recipe_builds[entry_points]",""
"passed","Fri Jan 06 21:12:05 UTC 2023","Fri Jan 06 21:12:31 UTC 2023","25924","tests","test_api_build","","","","test_env_creation_fail_exits_build",""
"passed","Fri Jan 06 20:51:19 UTC 2023","Fri Jan 06 20:51:22 UTC 2023","2244","tests","test_api_build","","","","test_recipe_builds[empty_patch_section]",""
"passed","Fri Jan 06 20:57:34 UTC 2023","Fri Jan 06 20:57:49 UTC 2023","15922","tests","test_api_build","","","","test_recipe_builds[jinja_load_setuptools]",""
"passed","Fri Jan 06 20:44:42 UTC 2023","Fri Jan 06 20:44:47 UTC 2023","4347","tests","test_api_build","","","","test_recipe_builds[selectors_in_imported_templates]",""
"passed","Fri Jan 06 20:52:41 UTC 2023","Fri Jan 06 20:52:45 UTC 2023","4600","tests","test_api_build","","","","test_recipe_builds[patch]",""
"passed","Fri Jan 06 21:00:25 UTC 2023","Fri Jan 06 21:00:29 UTC 2023","4341","tests","test_api_build","","","","test_recipe_builds[jinja_vars]",""
"passed","Fri Jan 06 20:49:28 UTC 2023","Fri Jan 06 20:49:50 UTC 2023","22653","tests","test_api_build","","","","test_recipe_builds[jinja_load_yaml]",""
"passed","Fri Jan 06 21:06:03 UTC 2023","Fri Jan 06 21:06:05 UTC 2023","2227","tests","test_api_build","","","","test_no_anaconda_upload_condarc[anaconda]",""
"passed","Fri Jan 06 20:57:28 UTC 2023","Fri Jan 06 20:57:34 UTC 2023","5225","tests","test_api_build","","","","test_recipe_builds[source_multiple]",""
"passed","Fri Jan 06 20:57:49 UTC 2023","Fri Jan 06 20:58:18 UTC 2023","28795","tests","test_api_build","","","","test_recipe_builds[python_run]",""
"passed","Fri Jan 06 20:52:50 UTC 2023","Fri Jan 06 20:53:33 UTC 2023","43171","tests","test_api_build","","","","test_recipe_builds[entry_points_have_prefix_noarch_has_prefix_files]",""
"passed","Fri Jan 06 20:55:00 UTC 2023","Fri Jan 06 20:55:26 UTC 2023","26153","tests","test_api_build","","","","test_recipe_builds[source_setup_py_data]",""
"passed","Fri Jan 06 20:55:38 UTC 2023","Fri Jan 06 20:55:47 UTC 2023","9466","tests","test_api_build","","","","test_recipe_builds[empty_run_section]",""
"passed","Fri Jan 06 21:06:05 UTC 2023","Fri Jan 06 21:06:08 UTC 2023","2684","tests","test_api_build","","","","test_offline[binstar]",""
"passed","Fri Jan 06 20:48:24 UTC 2023","Fri Jan 06 20:48:36 UTC 2023","11679","tests","test_api_build","","","","test_recipe_builds[symlinks]",""
"passed","Fri Jan 06 21:04:41 UTC 2023","Fri Jan 06 21:05:25 UTC 2023","43602","tests","test_api_build","","","","test_recipe_builds[numpy_build_run]",""
