"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Jan 06 20:57:47 UTC 2023","Fri Jan 06 20:57:47 UTC 2023","0","tests","test_api_build","","","","test_macos_tbd_handling","
    Test path handling after installation... The test case uses a Hello World
    example in C/C++ for testing the installation of C libraries...
    "
"passed","Fri Jan 06 21:11:18 UTC 2023","Fri Jan 06 21:11:18 UTC 2023","0","tests","test_config","","","","test_set_bits",""
"passed","Fri Jan 06 21:36:02 UTC 2023","Fri Jan 06 21:36:08 UTC 2023","6423","tests","test_variants","","","","test_variant_subkeys_retained",""
"passed","Fri Jan 06 21:14:22 UTC 2023","Fri Jan 06 21:14:22 UTC 2023","575","tests","test_source","","","","test_git_into_existing_populated_folder_raises","Git will not clone into a non-empty folder.  This should raise an exception."
"passed","Fri Jan 06 21:14:44 UTC 2023","Fri Jan 06 21:15:19 UTC 2023","35527","tests","test_api_skeleton_cran","","","","test_cran_license[r-udpipe-MPL-2.0-OTHER-]",""
"passed","Fri Jan 06 20:49:06 UTC 2023","Fri Jan 06 20:49:46 UTC 2023","39939","tests","test_api_build","","","","test_run_exports",""
"passed","Fri Jan 06 21:00:50 UTC 2023","Fri Jan 06 21:00:51 UTC 2023","511","tests","test_api_convert","","","","test_convert_no_dependencies[package0-linux]",""
"passed","Fri Jan 06 21:11:51 UTC 2023","Fri Jan 06 21:11:51 UTC 2023","0","tests","test_license_family","","","","test_guess_license_family[Unlimited-MIT]","Test cases where new and deprecated functions match"
"passed","Fri Jan 06 20:57:56 UTC 2023","Fri Jan 06 20:57:56 UTC 2023","1","tests","test_api_consistency","","","","test_api_list_skeletons",""
"passed","Fri Jan 06 21:15:07 UTC 2023","Fri Jan 06 21:15:14 UTC 2023","6848","tests","test_subpackages","","","","test_subpackage_recipes[jinja2_subpackage_name]",""
"passed","Fri Jan 06 21:20:12 UTC 2023","Fri Jan 06 21:20:42 UTC 2023","29559","tests","test_subpackages","","","","test_subpackage_variant_override",""
"passed","Fri Jan 06 21:12:05 UTC 2023","Fri Jan 06 21:12:05 UTC 2023","1","tests","test_misc","","","","test_entity_encoder",""
"passed","Fri Jan 06 20:57:56 UTC 2023","Fri Jan 06 20:57:56 UTC 2023","1","tests","test_api_consistency","","","","test_api_installable",""
"passed","Fri Jan 06 21:17:55 UTC 2023","Fri Jan 06 21:19:17 UTC 2023","81990","tests","test_subpackages","","","","test_subpackage_recipes[python_test_dep]",""
"passed","Fri Jan 06 20:49:26 UTC 2023","Fri Jan 06 20:49:31 UTC 2023","4457","tests","test_api_build","","","","test_fix_permissions",""
"passed","Fri Jan 06 21:15:40 UTC 2023","Fri Jan 06 21:16:04 UTC 2023","23812","tests","test_subpackages","","","","test_subpackage_recipes[script_autodetect_interpreter]",""
"passed","Fri Jan 06 21:11:18 UTC 2023","Fri Jan 06 21:11:18 UTC 2023","0","tests","test_cran_skeleton","","","","test_get_license_info[GPL-3-GPL-3-GPL3-license_file:
    - '{{ environ[""PREFIX""] }}/lib/R/share/licenses/GPL-3']",""
"passed","Fri Jan 06 20:50:55 UTC 2023","Fri Jan 06 20:52:46 UTC 2023","111762","tests","test_api_build","","","","test_only_r_env_vars_defined",""
"passed","Fri Jan 06 21:36:08 UTC 2023","Fri Jan 06 21:36:08 UTC 2023","2","tests.cli","test_main_debug","","","","test_main_debug_happy_path","
    Happy path through the main_debug.main function.
    "
"passed","Fri Jan 06 20:44:10 UTC 2023","Fri Jan 06 20:44:52 UTC 2023","41942","tests","test_api_build","","","","test_no_include_recipe_config_arg","Two ways to not include recipe: build/include_recipe: False in meta.yaml; or this.
    Former is tested with specific recipe."
"passed","Fri Jan 06 21:29:03 UTC 2023","Fri Jan 06 21:29:07 UTC 2023","3187","tests","test_cli","","","","test_build_without_channel_fails",""
"passed","Fri Jan 06 21:05:13 UTC 2023","Fri Jan 06 21:05:51 UTC 2023","38031","tests","test_cli","","","","test_build_multiple_recipes","Test that building two recipes in one CLI call separates the build environment for each"
"passed","Fri Jan 06 21:14:23 UTC 2023","Fri Jan 06 21:14:23 UTC 2023","274","tests","test_source","","","","test_source_user_expand",""
"passed","Fri Jan 06 21:09:38 UTC 2023","Fri Jan 06 21:09:48 UTC 2023","9776","tests","test_cli","","","","test_package_test","Test calling conda build -t <package file> - rather than <recipe dir>"
"passed","Fri Jan 06 20:59:14 UTC 2023","Fri Jan 06 20:59:19 UTC 2023","4837","tests","test_api_debug","","","","test_error_on_ambiguous_output",""
"passed","Fri Jan 06 21:00:07 UTC 2023","Fri Jan 06 21:00:08 UTC 2023","436","tests","test_api_convert","","","","test_show_imports[package0-win]",""
"passed","Fri Jan 06 20:58:51 UTC 2023","Fri Jan 06 20:58:58 UTC 2023","7867","tests","test_api_debug","","","","test_debug_recipe_custom_path",""
