"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 06 21:00:44 UTC 2023","Fri Jan 06 21:00:46 UTC 2023","2002","tests","test_api_build","","","","test_no_anaconda_upload_condarc[anaconda]",""
"passed","Fri Jan 06 20:54:06 UTC 2023","Fri Jan 06 20:54:08 UTC 2023","1890","tests","test_api_build","","","","test_recipe_builds[noarch_generic]",""
"passed","Fri Jan 06 20:44:23 UTC 2023","Fri Jan 06 20:44:48 UTC 2023","24213","tests","test_api_build","","","","test_recipe_builds[binary_has_prefix_files_list]",""
"passed","Fri Jan 06 20:48:17 UTC 2023","Fri Jan 06 20:48:42 UTC 2023","24674","tests","test_api_build","","","","test_recipe_builds[python_build_run]",""
"passed","Fri Jan 06 20:48:42 UTC 2023","Fri Jan 06 20:48:56 UTC 2023","14745","tests","test_api_build","","","","test_recipe_builds[build_env]",""
"passed","Fri Jan 06 20:58:50 UTC 2023","Fri Jan 06 20:59:13 UTC 2023","22793","tests","test_api_build","","","","test_recipe_builds[entry_points]",""
"passed","Fri Jan 06 21:01:11 UTC 2023","Fri Jan 06 21:01:27 UTC 2023","15620","tests","test_api_build","","","","test_build_with_no_activate_does_not_activate",""
"passed","Fri Jan 06 20:47:11 UTC 2023","Fri Jan 06 20:47:21 UTC 2023","9993","tests","test_api_build","","","","test_recipe_builds[symlinks]",""
"skipped","Fri Jan 06 20:48:42 UTC 2023","Fri Jan 06 20:48:42 UTC 2023","0","tests","test_api_build","","","","test_recipe_builds[source_setup_py_data_subdir]",""
"passed","Fri Jan 06 20:54:25 UTC 2023","Fri Jan 06 20:54:44 UTC 2023","18644","tests","test_api_build","","","","test_recipe_builds[python_run]",""
"passed","Fri Jan 06 20:46:50 UTC 2023","Fri Jan 06 20:47:11 UTC 2023","20553","tests","test_api_build","","","","test_recipe_builds[extra_freeform_metadata]",""
"passed","Fri Jan 06 21:02:30 UTC 2023","Fri Jan 06 21:03:01 UTC 2023","31035","tests","test_api_build_go_package","","","","test_recipe_build",""
"passed","Fri Jan 06 20:57:10 UTC 2023","Fri Jan 06 20:57:30 UTC 2023","20054","tests","test_api_build","","","","test_recipe_builds[jinja_load_toml]",""
"passed","Fri Jan 06 20:50:37 UTC 2023","Fri Jan 06 20:51:09 UTC 2023","32181","tests","test_api_build","","","","test_recipe_builds[entry_points_have_prefix_noarch_has_prefix_files]",""
"passed","Fri Jan 06 20:59:13 UTC 2023","Fri Jan 06 20:59:21 UTC 2023","8024","tests","test_api_build","","","","test_recipe_builds[float_misinterpretation]",""
"skipped","Fri Jan 06 21:00:39 UTC 2023","Fri Jan 06 21:00:39 UTC 2023","0","tests","test_api_build","","","","test_ignore_some_prefix_files",""
"passed","Fri Jan 06 20:49:23 UTC 2023","Fri Jan 06 20:49:25 UTC 2023","1928","tests","test_api_build","","","","test_recipe_builds[empty_patch_section]",""
"passed","Fri Jan 06 21:00:51 UTC 2023","Fri Jan 06 21:01:11 UTC 2023","20322","tests","test_api_build","","","","test_early_abort","There have been some problems with conda-build dropping out early.
    Make sure we aren't causing them"
"passed","Fri Jan 06 21:03:17 UTC 2023","Fri Jan 06 21:03:17 UTC 2023","4","tests","test_cli","","","","test_zstd_compression_level[1-2]",""
"passed","Fri Jan 06 21:00:48 UTC 2023","Fri Jan 06 21:00:51 UTC 2023","2447","tests","test_api_build","","","","test_offline[anaconda]",""
"skipped","Fri Jan 06 21:00:39 UTC 2023","Fri Jan 06 21:00:39 UTC 2023","0","tests","test_api_build","","","","test_ignore_prefix_files",""
"passed","Fri Jan 06 21:00:46 UTC 2023","Fri Jan 06 21:00:48 UTC 2023","2310","tests","test_api_build","","","","test_offline[binstar]",""
"passed","Fri Jan 06 20:50:13 UTC 2023","Fri Jan 06 20:50:15 UTC 2023","2097","tests","test_api_build","","","","test_recipe_builds[empty_sections]",""
"passed","Fri Jan 06 20:48:56 UTC 2023","Fri Jan 06 20:49:11 UTC 2023","14191","tests","test_api_build","","","","test_recipe_builds[nested_recipe]",""
"passed","Fri Jan 06 20:55:54 UTC 2023","Fri Jan 06 20:56:16 UTC 2023","22275","tests","test_api_build","","","","test_recipe_builds[unicode_in_meta]",""
"passed","Fri Jan 06 20:52:33 UTC 2023","Fri Jan 06 20:52:43 UTC 2023","9944","tests","test_api_build","","","","test_recipe_builds[arbitrary_file_in_info_dir]",""
"passed","Fri Jan 06 20:54:44 UTC 2023","Fri Jan 06 20:55:04 UTC 2023","20403","tests","test_api_build","","","","test_recipe_builds[python_env_defined]",""
"passed","Fri Jan 06 20:58:32 UTC 2023","Fri Jan 06 20:58:46 UTC 2023","13891","tests","test_api_build","","","","test_recipe_builds[source_git_jinja2]",""
"passed","Fri Jan 06 21:00:29 UTC 2023","Fri Jan 06 21:00:39 UTC 2023","10229","tests","test_api_build","","","","test_recipe_builds[state_variables]",""
"passed","Fri Jan 06 21:03:14 UTC 2023","Fri Jan 06 21:03:17 UTC 2023","3731","tests","test_cli","","","","test_no_force_upload",""
"passed","Fri Jan 06 20:59:33 UTC 2023","Fri Jan 06 21:00:13 UTC 2023","39149","tests","test_api_build","","","","test_recipe_builds[numpy_build_run]",""
"passed","Fri Jan 06 21:02:12 UTC 2023","Fri Jan 06 21:02:30 UTC 2023","18248","tests","test_api_build","","","","test_env_creation_fail_exits_build",""
"passed","Fri Jan 06 20:49:41 UTC 2023","Fri Jan 06 20:50:09 UTC 2023","27538","tests","test_api_build","","","","test_recipe_builds[r_test_import]",""
"passed","Fri Jan 06 20:53:05 UTC 2023","Fri Jan 06 20:53:58 UTC 2023","53008","tests","test_api_build","","","","test_recipe_builds[cdt_linking]",""
"passed","Fri Jan 06 21:00:42 UTC 2023","Fri Jan 06 21:00:44 UTC 2023","2047","tests","test_api_build","","","","test_no_anaconda_upload_condarc[binstar]",""
"passed","Fri Jan 06 21:03:17 UTC 2023","Fri Jan 06 21:03:17 UTC 2023","6","tests","test_cli","","","","test_zstd_compression_level[1-None]",""
"passed","Fri Jan 06 21:01:27 UTC 2023","Fri Jan 06 21:01:47 UTC 2023","20337","tests","test_api_build","","","","test_build_with_activate_does_activate",""
"passed","Fri Jan 06 21:03:17 UTC 2023","Fri Jan 06 21:03:25 UTC 2023","7978","tests","test_metadata","","","","test_build_bootstrap_env_by_name",""
"passed","Fri Jan 06 20:50:15 UTC 2023","Fri Jan 06 20:50:28 UTC 2023","13277","tests","test_api_build","","","","test_recipe_builds[source_git_am]",""
"passed","Fri Jan 06 20:53:58 UTC 2023","Fri Jan 06 20:54:06 UTC 2023","7924","tests","test_api_build","","","","test_recipe_builds[test_source_files]",""
"passed","Fri Jan 06 20:52:09 UTC 2023","Fri Jan 06 20:52:13 UTC 2023","4197","tests","test_api_build","","","","test_recipe_builds[hoist_source_multilevel]",""
"passed","Fri Jan 06 20:55:28 UTC 2023","Fri Jan 06 20:55:32 UTC 2023","4195","tests","test_api_build","","","","test_recipe_builds[source_path]",""
"passed","Fri Jan 06 20:43:55 UTC 2023","Fri Jan 06 20:44:19 UTC 2023","23826","tests","test_api_build","","","","test_recipe_builds[patch-read-only]",""
"passed","Fri Jan 06 20:58:09 UTC 2023","Fri Jan 06 20:58:32 UTC 2023","22266","tests","test_api_build","","","","test_recipe_builds[ds_store_ignored]",""
"passed","Fri Jan 06 20:54:08 UTC 2023","Fri Jan 06 20:54:12 UTC 2023","4650","tests","test_api_build","","","","test_recipe_builds[source_multiple]",""
"passed","Fri Jan 06 20:44:50 UTC 2023","Fri Jan 06 20:45:00 UTC 2023","10611","tests","test_api_build","","","","test_recipe_builds[libarchive]",""
"passed","Fri Jan 06 20:59:21 UTC 2023","Fri Jan 06 20:59:33 UTC 2023","12577","tests","test_api_build","","","","test_recipe_builds[source_url]",""
"passed","Fri Jan 06 20:50:09 UTC 2023","Fri Jan 06 20:50:13 UTC 2023","3888","tests","test_api_build","","","","test_recipe_builds[nested_prefix]",""
"passed","Fri Jan 06 20:54:13 UTC 2023","Fri Jan 06 20:54:25 UTC 2023","12343","tests","test_api_build","","","","test_recipe_builds[jinja_load_setuptools]",""
"passed","Fri Jan 06 20:56:32 UTC 2023","Fri Jan 06 20:56:45 UTC 2023","13098","tests","test_api_build","","","","test_recipe_builds[jinja2_build_str]",""
"passed","Fri Jan 06 20:51:56 UTC 2023","Fri Jan 06 20:52:09 UTC 2023","13181","tests","test_api_build","","","","test_recipe_builds[source_regex_from_recipe_dir]",""
"skipped","Fri Jan 06 21:00:39 UTC 2023","Fri Jan 06 21:00:42 UTC 2023","2322","tests","test_api_build","","","","test_token_upload",""
"passed","Fri Jan 06 20:46:04 UTC 2023","Fri Jan 06 20:46:22 UTC 2023","17749","tests","test_api_build","","","","test_recipe_builds[relative_url_download]",""
"passed","Fri Jan 06 20:44:23 UTC 2023","Fri Jan 06 20:44:23 UTC 2023","148","tests","test_api_build","","","","test_recipe_builds[build_skip]",""
"passed","Fri Jan 06 20:49:25 UTC 2023","Fri Jan 06 20:49:29 UTC 2023","3903","tests","test_api_build","","","","test_recipe_builds[fix_permissions]",""
"passed","Fri Jan 06 20:52:51 UTC 2023","Fri Jan 06 20:53:05 UTC 2023","14195","tests","test_api_build","","","","test_recipe_builds[build_string]",""
"passed","Fri Jan 06 21:01:47 UTC 2023","Fri Jan 06 21:02:12 UTC 2023","24553","tests","test_api_build","","","","test_numpy_setup_py_data",""
"passed","Fri Jan 06 21:00:13 UTC 2023","Fri Jan 06 21:00:29 UTC 2023","16713","tests","test_api_build","","","","test_recipe_builds[no_link]",""
"passed","Fri Jan 06 20:52:13 UTC 2023","Fri Jan 06 20:52:33 UTC 2023","19545","tests","test_api_build","","","","test_recipe_builds[source_setup_py_data]",""
"passed","Fri Jan 06 20:51:25 UTC 2023","Fri Jan 06 20:51:56 UTC 2023","30974","tests","test_api_build","","","","test_recipe_builds[numpy_build]",""
"passed","Fri Jan 06 20:52:43 UTC 2023","Fri Jan 06 20:52:51 UTC 2023","8089","tests","test_api_build","","","","test_recipe_builds[empty_run_section]",""
"passed","Fri Jan 06 20:51:23 UTC 2023","Fri Jan 06 20:51:25 UTC 2023","1993","tests","test_api_build","","","","test_recipe_builds[unknown_selector]",""
"passed","Fri Jan 06 20:51:09 UTC 2023","Fri Jan 06 20:51:23 UTC 2023","13743","tests","test_api_build","","","","test_recipe_builds[build_number]",""
"passed","Fri Jan 06 20:50:28 UTC 2023","Fri Jan 06 20:50:33 UTC 2023","4632","tests","test_api_build","","","","test_recipe_builds[patch]",""
"passed","Fri Jan 06 21:03:17 UTC 2023","Fri Jan 06 21:03:17 UTC 2023","4","tests","test_cli","","","","test_zstd_compression_level[None-None]",""
"passed","Fri Jan 06 20:46:22 UTC 2023","Fri Jan 06 20:46:50 UTC 2023","28059","tests","test_api_build","","","","test_recipe_builds[has_prefix_files]",""
"passed","Fri Jan 06 20:44:19 UTC 2023","Fri Jan 06 20:44:23 UTC 2023","3980","tests","test_api_build","","","","test_recipe_builds[selectors_in_imported_templates]",""
"passed","Fri Jan 06 20:49:11 UTC 2023","Fri Jan 06 20:49:23 UTC 2023","12042","tests","test_api_build","","","","test_recipe_builds[wheel_source]",""
"passed","Fri Jan 06 20:55:32 UTC 2023","Fri Jan 06 20:55:54 UTC 2023","21425","tests","test_api_build","","","","test_recipe_builds[jinja2]",""
"passed","Fri Jan 06 20:47:21 UTC 2023","Fri Jan 06 20:47:56 UTC 2023","35726","tests","test_api_build","","","","test_recipe_builds[entry_points_have_prefix]",""
"passed","Fri Jan 06 20:49:29 UTC 2023","Fri Jan 06 20:49:41 UTC 2023","12618","tests","test_api_build","","","","test_recipe_builds[source_regex]",""
"passed","Fri Jan 06 20:56:58 UTC 2023","Fri Jan 06 20:57:10 UTC 2023","12123","tests","test_api_build","","","","test_recipe_builds[preserve_egg_dir]",""
"passed","Fri Jan 06 20:56:20 UTC 2023","Fri Jan 06 20:56:32 UTC 2023","11967","tests","test_api_build","","","","test_recipe_builds[unicode_all_over]",""
"skipped","Fri Jan 06 21:02:12 UTC 2023","Fri Jan 06 21:02:12 UTC 2023","14","tests","test_api_build","","","","test_copy_read_only_file_with_xattr",""
"passed","Fri Jan 06 20:50:33 UTC 2023","Fri Jan 06 20:50:37 UTC 2023","4201","tests","test_api_build","","","","test_recipe_builds[hoist_source_multilevel_shadow]",""
