"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 06 21:01:22 UTC 2023","Fri Jan 06 21:19:40 UTC 2023","1098311","tests","test_api_build","","","","test_recipe_builds[entry_points]",""
"passed","Fri Jan 06 21:52:02 UTC 2023","Fri Jan 06 21:52:05 UTC 2023","3113","tests","test_api_build","","","","test_no_anaconda_upload_condarc[anaconda]",""
"passed","Fri Jan 06 21:49:49 UTC 2023","Fri Jan 06 21:49:51 UTC 2023","2583","tests","test_api_build","","","","test_recipe_builds[symlinks]",""
"passed","Fri Jan 06 21:42:54 UTC 2023","Fri Jan 06 21:42:57 UTC 2023","2786","tests","test_api_build","","","","test_recipe_builds[selectors_in_imported_templates]",""
"passed","Fri Jan 06 21:50:02 UTC 2023","Fri Jan 06 21:51:15 UTC 2023","72814","tests","test_api_build","","","","test_recipe_builds[unicode_in_meta]",""
"passed","Fri Jan 06 21:49:35 UTC 2023","Fri Jan 06 21:49:49 UTC 2023","14026","tests","test_api_build","","","","test_recipe_builds[state_variables]",""
"passed","Fri Jan 06 21:28:41 UTC 2023","Fri Jan 06 21:28:41 UTC 2023","125","tests","test_api_build","","","","test_recipe_builds[nested_prefix]",""
"passed","Fri Jan 06 22:01:45 UTC 2023","Fri Jan 06 22:01:47 UTC 2023","2581","tests","test_cli","","","","test_purge_all","
    purge-all clears out build folders as well as build packages in the osx-64 folders and such
    "
"passed","Fri Jan 06 21:26:08 UTC 2023","Fri Jan 06 21:26:43 UTC 2023","34868","tests","test_api_build","","","","test_recipe_builds[jinja_load_setuptools]",""
"passed","Fri Jan 06 21:47:45 UTC 2023","Fri Jan 06 21:48:55 UTC 2023","69805","tests","test_api_build","","","","test_recipe_builds[source_setup_py_data]",""
"passed","Fri Jan 06 21:22:48 UTC 2023","Fri Jan 06 21:22:58 UTC 2023","9812","tests","test_api_build","","","","test_recipe_builds[float_misinterpretation]",""
"skipped","Fri Jan 06 21:53:24 UTC 2023","Fri Jan 06 21:53:47 UTC 2023","23175","tests","test_api_build","","","","test_build_with_activate_does_activate",""
"passed","Fri Jan 06 21:53:47 UTC 2023","Fri Jan 06 21:58:16 UTC 2023","268936","tests","test_api_build","","","","test_numpy_setup_py_data",""
"passed","Fri Jan 06 21:21:40 UTC 2023","Fri Jan 06 21:21:40 UTC 2023","156","tests","test_api_build","","","","test_recipe_builds[entry_points_have_prefix_noarch_has_prefix_files]",""
"passed","Fri Jan 06 21:30:09 UTC 2023","Fri Jan 06 21:31:48 UTC 2023","99322","tests","test_api_build","","","","test_recipe_builds[numpy_build]",""
"passed","Fri Jan 06 21:45:46 UTC 2023","Fri Jan 06 21:45:54 UTC 2023","7484","tests","test_api_build","","","","test_recipe_builds[source_path]",""
"passed","Fri Jan 06 20:56:12 UTC 2023","Fri Jan 06 20:57:05 UTC 2023","52453","tests","test_api_build","","","","test_recipe_builds[always_include_files_glob]",""
"passed","Fri Jan 06 21:28:38 UTC 2023","Fri Jan 06 21:28:41 UTC 2023","2708","tests","test_api_build","","","","test_recipe_builds[multiple_sources]",""
"passed","Fri Jan 06 21:22:41 UTC 2023","Fri Jan 06 21:22:48 UTC 2023","6888","tests","test_api_build","","","","test_recipe_builds[fix_permissions]",""
"passed","Fri Jan 06 21:24:38 UTC 2023","Fri Jan 06 21:25:27 UTC 2023","49621","tests","test_api_build","","","","test_recipe_builds[jinja2]",""
"passed","Fri Jan 06 21:43:35 UTC 2023","Fri Jan 06 21:44:16 UTC 2023","40286","tests","test_api_build","","","","test_recipe_builds[source_git]",""
"passed","Fri Jan 06 20:57:19 UTC 2023","Fri Jan 06 20:58:07 UTC 2023","48312","tests","test_api_build","","","","test_recipe_builds[binary_has_prefix_files_list]",""
"passed","Fri Jan 06 22:01:52 UTC 2023","Fri Jan 06 22:02:15 UTC 2023","22689","tests","test_metadata","","","","test_build_bootstrap_env_by_name",""
"passed","Fri Jan 06 21:44:56 UTC 2023","Fri Jan 06 21:45:37 UTC 2023","41427","tests","test_api_build","","","","test_recipe_builds[source_git_jinja2]",""
"passed","Fri Jan 06 21:25:27 UTC 2023","Fri Jan 06 21:26:08 UTC 2023","40926","tests","test_api_build","","","","test_recipe_builds[jinja2_build_str]",""
"passed","Fri Jan 06 21:39:29 UTC 2023","Fri Jan 06 21:40:19 UTC 2023","50535","tests","test_api_build","","","","test_recipe_builds[python_run]",""
"passed","Fri Jan 06 22:02:15 UTC 2023","Fri Jan 06 22:02:15 UTC 2023","15","tests","test_utils","","","","test_logger_filtering",""
"skipped","Fri Jan 06 21:48:55 UTC 2023","Fri Jan 06 21:48:55 UTC 2023","0","tests","test_api_build","","","","test_recipe_builds[source_setup_py_data_subdir]",""
"passed","Fri Jan 06 20:58:46 UTC 2023","Fri Jan 06 20:59:26 UTC 2023","40002","tests","test_api_build","","","","test_recipe_builds[build_number]",""
"passed","Fri Jan 06 21:01:02 UTC 2023","Fri Jan 06 21:01:11 UTC 2023","9762","tests","test_api_build","","","","test_recipe_builds[empty_run_section]",""
"passed","Fri Jan 06 22:01:30 UTC 2023","Fri Jan 06 22:01:42 UTC 2023","12154","tests","test_cli","","","","test_build_add_channel","This recipe requires the conda_build_test_requirement package, which is
    only on the conda_build_test channel. This verifies that the -c argument
    works."
"passed","Fri Jan 06 22:02:15 UTC 2023","Fri Jan 06 22:02:21 UTC 2023","6009","tests","test_variants","","","","test_ensure_valid_spec_on_run_and_test",""
