"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 06 21:50:02 UTC 2023","Fri Jan 06 21:53:09 UTC 2023","186741","tests","test_api_build_go_package","","","","test_recipe_build",""
"passed","Fri Jan 06 21:49:29 UTC 2023","Fri Jan 06 21:50:02 UTC 2023","32572","tests","test_api_build","","","","test_env_creation_fail_exits_build",""
"passed","Fri Jan 06 21:53:24 UTC 2023","Fri Jan 06 21:53:27 UTC 2023","3041","tests","test_cli","","","","test_purge","
    purge clears out build folders - things like some_pkg_12048309850135

    It does not clear out build packages from folders like osx-64 or linux-64.
    "
"skipped","Fri Jan 06 21:49:29 UTC 2023","Fri Jan 06 21:49:29 UTC 2023","0","tests","test_api_build","","","","test_copy_read_only_file_with_xattr",""
"passed","Fri Jan 06 21:39:56 UTC 2023","Fri Jan 06 21:41:21 UTC 2023","85470","tests","test_api_build","","","","test_recipe_builds[unicode_in_meta]",""
"passed","Fri Jan 06 20:54:00 UTC 2023","Fri Jan 06 20:55:00 UTC 2023","60186","tests","test_api_build","","","","test_recipe_builds[always_include_files_glob]",""
"passed","Fri Jan 06 20:59:44 UTC 2023","Fri Jan 06 20:59:52 UTC 2023","7790","tests","test_api_build","","","","test_recipe_builds[empty_with_build_script]",""
"passed","Fri Jan 06 21:33:20 UTC 2023","Fri Jan 06 21:34:06 UTC 2023","45870","tests","test_api_build","","","","test_recipe_builds[source_git_am]",""
"passed","Fri Jan 06 21:22:49 UTC 2023","Fri Jan 06 21:23:07 UTC 2023","17819","tests","test_api_build","","","","test_recipe_builds[patch]",""
"passed","Fri Jan 06 21:42:20 UTC 2023","Fri Jan 06 21:42:25 UTC 2023","4803","tests","test_api_build","","","","test_offline[binstar]",""
"passed","Fri Jan 06 21:53:09 UTC 2023","Fri Jan 06 21:53:24 UTC 2023","14834","tests","test_cli","","","","test_build_add_channel","This recipe requires the conda_build_test_requirement package, which is
    only on the conda_build_test channel. This verifies that the -c argument
    works."
"passed","Fri Jan 06 21:24:02 UTC 2023","Fri Jan 06 21:25:30 UTC 2023","87973","tests","test_api_build","","","","test_recipe_builds[python_build]",""
"passed","Fri Jan 06 20:56:55 UTC 2023","Fri Jan 06 20:57:40 UTC 2023","45496","tests","test_api_build","","","","test_recipe_builds[build_number]",""
"passed","Fri Jan 06 21:11:22 UTC 2023","Fri Jan 06 21:12:18 UTC 2023","56004","tests","test_api_build","","","","test_recipe_builds[jinja2]",""
"passed","Fri Jan 06 21:35:12 UTC 2023","Fri Jan 06 21:36:17 UTC 2023","64698","tests","test_api_build","","","","test_recipe_builds[source_regex]",""
"passed","Fri Jan 06 21:23:07 UTC 2023","Fri Jan 06 21:23:19 UTC 2023","12273","tests","test_api_build","","","","test_recipe_builds[patch-read-only]",""
"passed","Fri Jan 06 21:53:35 UTC 2023","Fri Jan 06 21:54:02 UTC 2023","26746","tests","test_metadata","","","","test_build_bootstrap_env_by_name",""
"passed","Fri Jan 06 20:57:41 UTC 2023","Fri Jan 06 20:58:26 UTC 2023","45399","tests","test_api_build","","","","test_recipe_builds[build_string]",""
"passed","Fri Jan 06 21:28:06 UTC 2023","Fri Jan 06 21:29:05 UTC 2023","58639","tests","test_api_build","","","","test_recipe_builds[python_run]",""
"passed","Fri Jan 06 20:59:26 UTC 2023","Fri Jan 06 20:59:29 UTC 2023","2980","tests","test_api_build","","","","test_recipe_builds[empty_patch_section]",""
"passed","Fri Jan 06 21:09:10 UTC 2023","Fri Jan 06 21:09:17 UTC 2023","7152","tests","test_api_build","","","","test_recipe_builds[fix_permissions]",""
"passed","Fri Jan 06 21:11:08 UTC 2023","Fri Jan 06 21:11:15 UTC 2023","7121","tests","test_api_build","","","","test_recipe_builds[hoist_source_multilevel]",""
"passed","Fri Jan 06 21:37:21 UTC 2023","Fri Jan 06 21:38:42 UTC 2023","80861","tests","test_api_build","","","","test_recipe_builds[source_setup_py_data]",""
"passed","Fri Jan 06 21:31:50 UTC 2023","Fri Jan 06 21:32:34 UTC 2023","43623","tests","test_api_build","","","","test_recipe_builds[skip_compile_pyc]",""
"passed","Fri Jan 06 21:54:02 UTC 2023","Fri Jan 06 21:54:09 UTC 2023","7043","tests","test_variants","","","","test_ensure_valid_spec_on_run_and_test",""
"passed","Fri Jan 06 21:09:17 UTC 2023","Fri Jan 06 21:09:28 UTC 2023","10829","tests","test_api_build","","","","test_recipe_builds[float_misinterpretation]",""
"passed","Fri Jan 06 21:53:35 UTC 2023","Fri Jan 06 21:53:35 UTC 2023","0","tests","test_cli","","","","test_zstd_compression_level[1-None]",""
"passed","Fri Jan 06 20:59:40 UTC 2023","Fri Jan 06 20:59:44 UTC 2023","3694","tests","test_api_build","","","","test_recipe_builds[empty_sections]",""
"passed","Fri Jan 06 21:36:17 UTC 2023","Fri Jan 06 21:37:21 UTC 2023","64128","tests","test_api_build","","","","test_recipe_builds[source_regex_from_recipe_dir]",""
"passed","Fri Jan 06 21:32:34 UTC 2023","Fri Jan 06 21:33:20 UTC 2023","46228","tests","test_api_build","","","","test_recipe_builds[source_git]",""
"passed","Fri Jan 06 21:53:27 UTC 2023","Fri Jan 06 21:53:30 UTC 2023","2946","tests","test_cli","","","","test_purge_all","
    purge-all clears out build folders as well as build packages in the osx-64 folders and such
    "
"passed","Fri Jan 06 21:41:21 UTC 2023","Fri Jan 06 21:41:24 UTC 2023","2992","tests","test_api_build","","","","test_recipe_builds[unknown_selector]",""
"passed","Fri Jan 06 21:15:56 UTC 2023","Fri Jan 06 21:15:56 UTC 2023","156","tests","test_api_build","","","","test_recipe_builds[nested_prefix]",""
"passed","Fri Jan 06 21:41:24 UTC 2023","Fri Jan 06 21:42:09 UTC 2023","44747","tests","test_api_build","","","","test_recipe_builds[wheel_source]",""
"passed","Fri Jan 06 21:15:56 UTC 2023","Fri Jan 06 21:16:40 UTC 2023","44451","tests","test_api_build","","","","test_recipe_builds[nested_recipe]",""
"passed","Fri Jan 06 21:44:16 UTC 2023","Fri Jan 06 21:49:29 UTC 2023","313878","tests","test_api_build","","","","test_numpy_setup_py_data",""
"passed","Fri Jan 06 20:57:40 UTC 2023","Fri Jan 06 20:57:41 UTC 2023","156","tests","test_api_build","","","","test_recipe_builds[build_skip]",""
"passed","Fri Jan 06 21:12:18 UTC 2023","Fri Jan 06 21:13:03 UTC 2023","45517","tests","test_api_build","","","","test_recipe_builds[jinja2_build_str]",""
"passed","Fri Jan 06 21:08:00 UTC 2023","Fri Jan 06 21:09:10 UTC 2023","69532","tests","test_api_build","","","","test_recipe_builds[extra_freeform_metadata]",""
"passed","Fri Jan 06 20:59:29 UTC 2023","Fri Jan 06 20:59:40 UTC 2023","10787","tests","test_api_build","","","","test_recipe_builds[empty_run_section]",""
"passed","Fri Jan 06 21:15:34 UTC 2023","Fri Jan 06 21:15:37 UTC 2023","3162","tests","test_api_build","","","","test_recipe_builds[jinja_vars]",""
"skipped","Fri Jan 06 21:38:42 UTC 2023","Fri Jan 06 21:38:42 UTC 2023","0","tests","test_api_build","","","","test_recipe_builds[source_setup_py_data_subdir]",""
"passed","Fri Jan 06 21:53:35 UTC 2023","Fri Jan 06 21:53:35 UTC 2023","0","tests","test_cli","","","","test_zstd_compression_level[1-2]",""
"passed","Fri Jan 06 21:35:04 UTC 2023","Fri Jan 06 21:35:12 UTC 2023","8013","tests","test_api_build","","","","test_recipe_builds[source_path]",""
"passed","Fri Jan 06 20:58:26 UTC 2023","Fri Jan 06 20:58:26 UTC 2023","263","tests","test_api_build","","","","test_recipe_builds[cdt_linking]",""
"passed","Fri Jan 06 21:16:40 UTC 2023","Fri Jan 06 21:16:43 UTC 2023","3027","tests","test_api_build","","","","test_recipe_builds[noarch_generic]",""
"passed","Fri Jan 06 21:25:30 UTC 2023","Fri Jan 06 21:26:49 UTC 2023","78869","tests","test_api_build","","","","test_recipe_builds[python_build_run]",""
"skipped","Fri Jan 06 21:43:49 UTC 2023","Fri Jan 06 21:44:16 UTC 2023","26355","tests","test_api_build","","","","test_build_with_activate_does_activate",""
"passed","Fri Jan 06 21:42:29 UTC 2023","Fri Jan 06 21:43:25 UTC 2023","55780","tests","test_api_build","","","","test_early_abort","There have been some problems with conda-build dropping out early.
    Make sure we aren't causing them"
"passed","Fri Jan 06 21:34:54 UTC 2023","Fri Jan 06 21:35:04 UTC 2023","10236","tests","test_api_build","","","","test_recipe_builds[source_multiple]",""
"passed","Fri Jan 06 21:43:25 UTC 2023","Fri Jan 06 21:43:49 UTC 2023","24271","tests","test_api_build","","","","test_build_with_no_activate_does_not_activate",""
"passed","Fri Jan 06 21:26:49 UTC 2023","Fri Jan 06 21:28:06 UTC 2023","76545","tests","test_api_build","","","","test_recipe_builds[python_env_defined]",""
