"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 07 00:55:08 UTC 2023","Sat Jan 07 00:55:08 UTC 2023","1","tests","test_config","","","","test_set_subdir",""
"passed","Sat Jan 07 00:23:10 UTC 2023","Sat Jan 07 00:23:12 UTC 2023","1681","tests","test_api_render","","","","test_get_output_file_path",""
"passed","Sat Jan 07 00:22:56 UTC 2023","Sat Jan 07 00:23:10 UTC 2023","14510","tests","test_api_render","","","","test_render_yaml_output",""
"passed","Sat Jan 07 00:42:49 UTC 2023","Sat Jan 07 00:42:49 UTC 2023","4","tests","test_develop","","","","test_write_to_conda_pth","
    `conda develop pkg_path` invokes write_to_conda_pth() to write/append to
    conda.pth - this is a basic unit test for write_to_conda_pth

    :param str sp_dir: path to site-packages directory returned by fixture
    :param str conda_pth: path to conda.pth returned by fixture
    "
"passed","Sat Jan 07 00:43:02 UTC 2023","Sat Jan 07 00:43:03 UTC 2023","570","tests","test_index","","","","test_index_on_single_subdir_1",""
"passed","Sat Jan 07 00:09:43 UTC 2023","Sat Jan 07 00:09:52 UTC 2023","8840","tests","test_api_build","","","","test_no_force_upload_condarc_setting",""
"passed","Sat Jan 07 00:26:20 UTC 2023","Sat Jan 07 00:26:21 UTC 2023","676","tests","test_api_render","","","","test_cross_recipe_with_only_build_section",""
"passed","Sat Jan 07 00:31:38 UTC 2023","Sat Jan 07 00:32:48 UTC 2023","69805","tests","test_cli","","","","test_inspect_prefix_length",""
"passed","Sat Jan 07 00:39:25 UTC 2023","Sat Jan 07 00:39:25 UTC 2023","1","tests","test_jinja_context","","","","test_load_file_data[file.toml-None-[tbl]
a = 1-expected2]",""
"passed","Sat Jan 07 00:55:14 UTC 2023","Sat Jan 07 00:55:15 UTC 2023","1173","tests","test_utils","","","","test_try_acquire_locks",""
"passed","Sat Jan 07 00:07:14 UTC 2023","Sat Jan 07 00:08:53 UTC 2023","98609","tests","test_api_build","","","","test_run_exports_constrains",""
"passed","Sat Jan 07 00:21:22 UTC 2023","Sat Jan 07 00:21:22 UTC 2023","1","tests","test_api_consistency","","","","test_api_inspect_objects",""
"passed","Sat Jan 07 00:38:59 UTC 2023","Sat Jan 07 00:38:59 UTC 2023","10","tests","test_jinja_context","","","","test_pin_compatible_exact",""
"passed","Sat Jan 07 00:39:26 UTC 2023","Sat Jan 07 00:39:26 UTC 2023","1","tests","test_license_family","","","","test_guess_license_family[LGPL-2-LGPL]","Test cases where new and deprecated functions match"
"passed","Sat Jan 07 00:43:03 UTC 2023","Sat Jan 07 00:43:04 UTC 2023","551","tests","test_index","","","","test_file_index_on_single_subdir_1",""
"passed","Sat Jan 07 00:40:56 UTC 2023","Sat Jan 07 00:41:09 UTC 2023","13037","tests","test_cli","","","","test_build_source",""
"passed","Sat Jan 07 00:55:08 UTC 2023","Sat Jan 07 00:55:08 UTC 2023","0","tests","test_config","","","","test_build_id_at_end_of_long_build_prefix",""
"passed","Sat Jan 07 00:55:16 UTC 2023","Sat Jan 07 00:55:16 UTC 2023","5","tests","test_utils","","","","test_find_recipe_no_meta",""
"passed","Sat Jan 07 00:39:25 UTC 2023","Sat Jan 07 00:39:25 UTC 2023","1","tests","test_license_family","","","","test_guess_license_family[CC0-CC]","Test cases where new and deprecated functions match"
"passed","Sat Jan 07 00:15:36 UTC 2023","Sat Jan 07 00:15:56 UTC 2023","20465","tests","test_api_build","","","","test_runtime_dependencies",""
"passed","Sat Jan 07 00:40:14 UTC 2023","Sat Jan 07 00:40:14 UTC 2023","199","tests","test_metadata","","","","test_native_compiler_metadata_win[py_ver0]",""
"passed","Sat Jan 07 00:43:24 UTC 2023","Sat Jan 07 00:43:39 UTC 2023","14678","tests","test_subpackages","","","","test_subpackage_recipes[test_files_in_parent]",""
"passed","Sat Jan 07 01:00:05 UTC 2023","Sat Jan 07 01:00:07 UTC 2023","2035","tests","test_variants","","","","test_variants_in_output_names",""
"passed","Sat Jan 07 00:39:25 UTC 2023","Sat Jan 07 00:39:25 UTC 2023","1","tests","test_license_family","","","","test_guess_license_family[GPL (>= 3)-GPL3]","Test cases where new and deprecated functions match"
"passed","Sat Jan 07 00:00:57 UTC 2023","Sat Jan 07 00:03:00 UTC 2023","122851","tests","test_api_build","","","","test_cmake_generator[3.7-64]",""
"passed","Sat Jan 07 00:27:56 UTC 2023","Sat Jan 07 00:27:57 UTC 2023","490","tests","test_api_convert","","","","test_show_imports[package0-win]",""
"passed","Sat Jan 07 00:33:10 UTC 2023","Sat Jan 07 00:33:10 UTC 2023","2","tests","test_build","","","","test_create_info_files_json",""
"passed","Sat Jan 07 00:55:16 UTC 2023","Sat Jan 07 00:55:16 UTC 2023","13","tests","test_utils","","","","test_is_conda_pkg[aws-c-common-0.4.57-hb1e8313_1.tar.bz2-True-False-True]",""
"passed","Sat Jan 07 00:39:25 UTC 2023","Sat Jan 07 00:39:25 UTC 2023","1","tests","test_license_family","","","","test_guess_license_family[GPL (>= 3) | file LICENCE-GPL3]","Test cases where new and deprecated functions match"
"passed","Sat Jan 07 00:38:45 UTC 2023","Sat Jan 07 00:38:59 UTC 2023","14215","tests","test_inspect","","","","test_inspect_objects",""
"passed","Sat Jan 07 00:26:21 UTC 2023","Sat Jan 07 00:26:22 UTC 2023","487","tests","test_api_render","","","","test_cross_info_index_platform",""
"passed","Sat Jan 07 00:05:21 UTC 2023","Sat Jan 07 00:05:30 UTC 2023","8352","tests","test_api_build","","","","test_fix_permissions",""
"passed","Sat Jan 07 00:39:26 UTC 2023","Sat Jan 07 00:39:26 UTC 2023","1","tests","test_license_family","","","","test_guess_license_family[Lucent Public License-OTHER]","Test cases where new and deprecated functions match"
"skipped","Sat Jan 07 00:08:16 UTC 2023","Sat Jan 07 00:08:16 UTC 2023","0","tests","test_api_build","","","","test_noarch_python_with_tests",""
"passed","Sat Jan 07 00:00:39 UTC 2023","Sat Jan 07 00:00:43 UTC 2023","3240","tests","test_api_build","","","","test_relative_path_git_versioning",""
"passed","Sat Jan 07 01:01:14 UTC 2023","Sat Jan 07 01:01:19 UTC 2023","4894","tests","test_subpackages","","","","test_inherit_build_number",""
"passed","Sat Jan 07 00:55:10 UTC 2023","Sat Jan 07 00:55:14 UTC 2023","4509","tests","test_utils","","","","test_subprocess_stats_call",""
"passed","Sat Jan 07 00:39:26 UTC 2023","Sat Jan 07 00:39:26 UTC 2023","0","tests","test_license_family","","","","test_guess_license_family[Old MIT-MIT]","Test cases where new and deprecated functions match"
"passed","Sat Jan 07 00:21:23 UTC 2023","Sat Jan 07 00:21:23 UTC 2023","163","tests","test_api_convert","","","","test_no_imports_found[package0-linux]",""
"passed","Sat Jan 07 00:31:51 UTC 2023","Sat Jan 07 00:31:51 UTC 2023","21","tests","test_api_skeleton","","","","test_get_summary",""
