"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 07 00:35:01 UTC 2023","Sat Jan 07 00:36:04 UTC 2023","63468","tests","test_api_build","","","","test_recipe_builds[entry_points_have_prefix]",""
"passed","Sat Jan 07 00:18:33 UTC 2023","Sat Jan 07 00:18:52 UTC 2023","18838","tests","test_api_build","","","","test_recipe_builds[unicode_all_over]",""
"passed","Sat Jan 07 00:50:00 UTC 2023","Sat Jan 07 00:50:22 UTC 2023","21974","tests","test_cli","","","","test_build_add_channel","This recipe requires the conda_build_test_requirement package, which is
    only on the conda_build_test channel. This verifies that the -c argument
    works."
"passed","Sat Jan 07 00:26:20 UTC 2023","Sat Jan 07 00:26:24 UTC 2023","4367","tests","test_api_build","","","","test_recipe_builds[multiple_sources]",""
"passed","Sat Jan 07 00:50:27 UTC 2023","Sat Jan 07 00:50:32 UTC 2023","4666","tests","test_cli","","","","test_purge_all","
    purge-all clears out build folders as well as build packages in the osx-64 folders and such
    "
"passed","Sat Jan 07 00:20:53 UTC 2023","Sat Jan 07 00:21:27 UTC 2023","33747","tests","test_api_build","","","","test_recipe_builds[jinja_load_setuptools]",""
"passed","Sat Jan 07 00:47:01 UTC 2023","Sat Jan 07 00:47:36 UTC 2023","34330","tests","test_api_build","","","","test_numpy_setup_py_data",""
"passed","Sat Jan 07 00:17:45 UTC 2023","Sat Jan 07 00:18:28 UTC 2023","43438","tests","test_api_build","","","","test_recipe_builds[jinja2]",""
"skipped","Sat Jan 07 00:45:27 UTC 2023","Sat Jan 07 00:45:27 UTC 2023","0","tests","test_api_build","","","","test_ignore_prefix_files",""
"passed","Sat Jan 07 00:40:37 UTC 2023","Sat Jan 07 00:41:52 UTC 2023","74163","tests","test_api_build","","","","test_recipe_builds[numpy_run]",""
"skipped","Sat Jan 07 00:45:27 UTC 2023","Sat Jan 07 00:45:27 UTC 2023","0","tests","test_api_build","","","","test_ignore_some_prefix_files",""
"passed","Sat Jan 07 00:42:27 UTC 2023","Sat Jan 07 00:43:23 UTC 2023","55857","tests","test_api_build","","","","test_recipe_builds[python_build]",""
"passed","Sat Jan 07 00:14:39 UTC 2023","Sat Jan 07 00:14:58 UTC 2023","18618","tests","test_api_build","","","","test_recipe_builds[symlinks]",""
"passed","Sat Jan 07 00:18:52 UTC 2023","Sat Jan 07 00:19:33 UTC 2023","40861","tests","test_api_build","","","","test_recipe_builds[source_setup_py_data]",""
